Zone_ID,Motion_Score,Infrared_Score,Acoustic_Score,Seismic_Score,Sensor_Activity_Score
SGR_ZONE_041,0.0,0.0,0.499,0.0,0.0998
SGR_ZONE_042,0.1369,0.339,0.3663,0.39,0.2814
SGR_ZONE_043,0.0337,0.2949,0.3281,0.0,0.1659
SGR_ZONE_044,0.7987,0.0,0.3479,0.0,0.3491
SGR_ZONE_045,0.4551,0.415,0.3421,0.2983,0.3969
SGR_ZONE_046,0.3399,0.4456,0.9504,0.0,0.4427
SGR_ZONE_047,0.1625,0.0847,0.4971,0.8129,0.3036
SGR_ZONE_048,0.537,0.1201,0.5644,0.3716,0.3926
SGR_ZONE_049,0.3659,0.419,0.8731,0.5224,0.5067
SGR_ZONE_050,0.5291,0.0,0.2674,0.1228,0.2571
SGR_ZONE_051,0.3067,0.5151,0.3884,0.3116,0.3863
SGR_ZONE_052,0.431,0.6115,0.2281,0.5232,0.4584
SGR_ZONE_053,0.0,0.29,0.1417,0.2515,0.1531
SGR_ZONE_054,0.4696,0.0,0.6186,0.2436,0.3246
SGR_ZONE_055,0.311,0.347,0.3238,0.0,0.2777
SGR_ZONE_056,0.6938,0.0528,0.3156,0.2036,0.3523
SGR_ZONE_057,0.0518,0.3467,0.0,0.2125,0.154
SGR_ZONE_058,0.3889,0.1653,0.2223,0.3626,0.2846
SGR_ZONE_059,0.2338,0.9096,0.0,0.2295,0.3891
SGR_ZONE_060,0.0,0.3865,0.3426,0.0,0.1845
SGR_ZONE_061,0.2148,0.1815,0.5326,0.2868,0.2792
SGR_ZONE_062,0.2508,0.2626,0.2657,0.5771,0.3063
SGR_ZONE_063,0.2321,0.2366,0.1047,0.3201,0.2212
SGR_ZONE_064,0.2525,0.5316,0.3769,0.012,0.325
SGR_ZONE_065,0.2024,0.0,0.8331,0.0,0.2375
SGR_ZONE_066,0.4608,0.5287,0.41,0.0,0.4019
SGR_ZONE_067,0.5228,0.6345,0.3758,0.3393,0.4994
SGR_ZONE_068,0.4212,0.3245,0.1689,0.3154,0.3259
SGR_ZONE_069,0.4698,0.6166,0.2481,0.5496,0.4815
SGR_ZONE_070,0.2671,0.4796,0.4698,0.4985,0.4061
SGR_ZONE_071,0.2787,0.5799,0.1671,0.0,0.3049
SGR_ZONE_072,0.0465,0.0,0.3483,0.6125,0.1778
SGR_ZONE_073,0.2959,0.0,0.1462,0.1976,0.1624
SGR_ZONE_074,0.0,0.5235,0.4839,0.1443,0.2755
SGR_ZONE_075,0.3844,0.3759,0.4242,0.3415,0.3834
SGR_ZONE_076,0.3188,0.1925,0.1553,0.5207,0.2785
SGR_ZONE_077,0.176,0.0,0.2449,0.562,0.1949
SGR_ZONE_078,0.7977,0.4052,0.2094,0.2902,0.4862
SGR_ZONE_079,0.3154,0.2837,0.4691,0.2111,0.321
SGR_ZONE_080,0.143,0.5366,0.1211,0.3071,0.2813
SGR_ZONE_081,0.265,0.3826,0.2262,0.3734,0.3088
SGR_ZONE_082,0.5253,0.0665,0.1813,0.0,0.2401
SGR_ZONE_083,0.5056,0.4898,0.4639,0.2597,0.4556
SGR_ZONE_084,0.1266,0.1927,0.3683,0.8398,0.3017
SGR_ZONE_085,0.0,0.3238,0.0,0.7445,0.2088
SGR_ZONE_086,0.4636,0.2138,0.4353,0.0,0.3135
SGR_ZONE_087,0.1011,0.1719,0.4566,0.7788,0.2951
SGR_ZONE_088,0.0,0.1547,0.1127,0.5642,0.1536
SGR_ZONE_089,0.1923,0.1458,0.3931,0.3881,0.2479
SGR_ZONE_090,0.0,0.3434,0.3359,0.5968,0.2597
SGR_ZONE_091,0.5701,0.1201,0.1492,0.6614,0.3646
SGR_ZONE_092,0.1965,0.9136,0.3202,0.4746,0.4781
SGR_ZONE_093,0.3434,0.7691,0.3523,0.5447,0.5031
SGR_ZONE_094,0.0,0.477,0.4945,0.1805,0.2691
SGR_ZONE_095,0.537,0.0,0.1332,0.1918,0.2434
SGR_ZONE_096,0.1631,0.3099,0.7689,0.1718,0.3296
SGR_ZONE_097,0.0,0.187,0.2643,0.3094,0.1554
SGR_ZONE_098,0.3471,0.3476,0.0,0.1729,0.2517
SGR_ZONE_099,0.3007,0.1681,0.0631,0.246,0.2052
SGR_ZONE_100,0.5232,0.1064,0.0637,0.2565,0.2663
SGR_ZONE_101,0.341,0.0,0.6116,0.1709,0.2673
SGR_ZONE_102,0.098,0.0812,0.1688,0.1685,0.1177
SGR_ZONE_103,0.4344,0.1538,0.5463,0.4415,0.3737
SGR_ZONE_104,0.464,0.0,0.0,0.0,0.1624
SGR_ZONE_105,0.1053,0.5987,0.3105,0.3165,0.326
SGR_ZONE_106,0.3054,0.3533,0.3989,0.3683,0.3479
SGR_ZONE_107,0.4937,0.1144,0.5696,0.3134,0.368
SGR_ZONE_108,0.6693,0.4549,0.2273,0.3647,0.4709
SGR_ZONE_109,0.0,0.1857,0.131,0.5092,0.1583
SGR_ZONE_110,0.269,0.5989,0.1627,0.0,0.3064
SGR_ZONE_111,0.8752,0.2037,0.268,0.2309,0.4557
SGR_ZONE_112,0.3439,0.0,0.2437,0.6411,0.2653
SGR_ZONE_113,0.4552,0.3513,0.2529,0.5073,0.3914
SGR_ZONE_114,0.1805,0.9255,0.6466,0.2366,0.5056
SGR_ZONE_115,0.2751,0.0,0.9682,0.0,0.2899
SGR_ZONE_116,0.3226,0.7851,0.2325,0.4103,0.4565
SGR_ZONE_117,0.0,0.1737,0.5278,0.9408,0.2988
SGR_ZONE_118,0.4689,0.288,0.0,0.4539,0.3186
SGR_ZONE_119,0.2254,0.0,0.5141,0.332,0.2315
SGR_ZONE_120,0.362,0.4078,0.1245,0.1757,0.3003
SGR_ZONE_121,0.2064,0.501,0.6475,0.0,0.352
SGR_ZONE_122,0.0,0.4996,0.9192,0.2594,0.3726
SGR_ZONE_123,0.1512,0.4846,0.159,0.4303,0.2946
SGR_ZONE_124,0.1897,0.357,0.4162,0.7506,0.3693
SGR_ZONE_125,0.3936,0.2056,0.3112,0.4625,0.3311
SGR_ZONE_126,0.4571,0.0228,0.5535,0.3272,0.3266
SGR_ZONE_127,0.2038,0.3636,0.1682,0.3687,0.2694
SGR_ZONE_128,0.7007,0.4293,0.4038,0.0,0.4548
SGR_ZONE_129,0.9066,0.1733,0.2505,0.367,0.4744
SGR_ZONE_130,0.5,0.0,0.3558,0.6655,0.346
SGR_ZONE_131,0.0,0.3731,0.2744,0.061,0.176
SGR_ZONE_132,0.0,0.3798,0.288,0.4352,0.2368
SGR_ZONE_133,0.389,0.3078,0.1882,0.2711,0.3068
SGR_ZONE_134,0.0572,0.3255,0.3751,0.076,0.2041
SGR_ZONE_135,0.0,0.4372,0.0,0.2071,0.1622
SGR_ZONE_136,0.3031,0.0,0.4853,0.5467,0.2852
SGR_ZONE_137,0.5269,0.269,0.0,0.2705,0.3057
SGR_ZONE_138,0.2505,0.4686,0.9418,0.5945,0.5058
SGR_ZONE_139,0.1478,0.3886,0.1989,0.0,0.2081
SGR_ZONE_140,0.5068,0.0,0.2638,0.3224,0.2785
SGR_ZONE_141,0.0,0.7681,0.4949,0.3842,0.387
SGR_ZONE_142,0.3599,0.6045,0.1202,0.4568,0.3999
SGR_ZONE_143,0.0,0.2368,0.4303,0.1705,0.1827
SGR_ZONE_144,0.1869,0.5126,0.2018,0.1887,0.2879
SGR_ZONE_145,0.4952,0.4586,0.2321,0.4416,0.4236
SGR_ZONE_146,0.0,0.2183,0.5726,0.1256,0.1988
SGR_ZONE_147,0.0,0.4494,0.1935,0.2277,0.2077
SGR_ZONE_148,0.0,0.1051,0.2343,0.4428,0.1448
SGR_ZONE_149,0.2442,0.3055,0.5431,0.4122,0.3476
SGR_ZONE_150,0.0,0.3618,0.2673,0.6992,0.2669
