Zone_ID,NDVI,Vegetation_Density,Land_Cover,Vegetation_Risk
SGR_ZONE_031,0.639,0.6936,Dense Brush,0.7562
SGR_ZONE_032,0.5814,0.5797,Dense Brush,0.6878
SGR_ZONE_033,0.7265,0.8669,Forest,0.8602
SGR_ZONE_034,0.6464,0.7612,Dense Brush,0.7967
SGR_ZONE_035,0.6708,0.7056,Dense Brush,0.7634
SGR_ZONE_036,0.6597,0.8026,Dense Brush,0.8215
SGR_ZONE_037,0.616,0.7558,Dense Brush,0.7935
SGR_ZONE_038,0.3966,0.4774,Grassland,0.4864
SGR_ZONE_039,0.5998,0.6449,Dense Brush,0.7269
SGR_ZONE_040,0.5862,0.5455,Dense Brush,0.6673
SGR_ZONE_041,0.5467,0.6193,Grassland,0.5716
SGR_ZONE_042,0.6675,0.7083,Dense Brush,0.765
SGR_ZONE_043,0.4691,0.4909,Grassland,0.4945
SGR_ZONE_044,0.5911,0.6666,Dense Brush,0.74
SGR_ZONE_045,0.4593,0.5309,Grassland,0.5185
SGR_ZONE_046,0.493,0.5908,Grassland,0.5545
SGR_ZONE_047,0.4125,0.4374,Grassland,0.4625
SGR_ZONE_048,0.4207,0.3896,Grassland,0.4338
SGR_ZONE_049,0.4591,0.5181,Grassland,0.5108
SGR_ZONE_050,0.4192,0.4494,Grassland,0.4696
SGR_ZONE_051,0.2891,0.297,Alpine Scrub,0.3782
SGR_ZONE_052,0.3587,0.3545,Grassland,0.4127
SGR_ZONE_053,0.3573,0.4132,Grassland,0.4479
SGR_ZONE_054,0.5054,0.5647,Grassland,0.5388
SGR_ZONE_055,0.36,0.3922,Grassland,0.4353
SGR_ZONE_056,0.1712,0.187,Alpine Scrub,0.3122
SGR_ZONE_057,0.3154,0.4701,Alpine Scrub,0.482
SGR_ZONE_058,0.2816,0.3249,Alpine Scrub,0.3949
SGR_ZONE_059,0.2814,0.2511,Alpine Scrub,0.3507
SGR_ZONE_060,0.3635,0.4375,Grassland,0.4625
SGR_ZONE_061,0.3241,0.311,Alpine Scrub,0.3866
SGR_ZONE_062,0.3626,0.3287,Grassland,0.3972
SGR_ZONE_063,0.2877,0.426,Alpine Scrub,0.4556
SGR_ZONE_064,0.1529,0.1398,Alpine Scrub,0.2839
SGR_ZONE_065,0.2324,0.2305,Alpine Scrub,0.3383
SGR_ZONE_066,0.0937,0.1065,Barren Rocky,0.1439
SGR_ZONE_067,0.1271,0.1635,Barren Rocky,0.1781
SGR_ZONE_068,0.134,0.2248,Barren Rocky,0.2149
SGR_ZONE_069,0.1413,0.1394,Barren Rocky,0.1636
SGR_ZONE_070,0.2667,0.2318,Alpine Scrub,0.3391
SGR_ZONE_071,0.2185,0.3057,Alpine Scrub,0.3834
SGR_ZONE_072,0.0715,0.0878,Barren Rocky,0.1327
SGR_ZONE_073,0.2217,0.283,Alpine Scrub,0.3698
SGR_ZONE_074,0.104,0.0484,Barren Rocky,0.109
SGR_ZONE_075,0.2478,0.2875,Alpine Scrub,0.3725
SGR_ZONE_076,0.2303,0.2707,Alpine Scrub,0.3624
SGR_ZONE_077,0.1611,0.1888,Alpine Scrub,0.3133
SGR_ZONE_078,0.2453,0.2341,Alpine Scrub,0.3404
SGR_ZONE_079,0.3784,0.4399,Grassland,0.464
SGR_ZONE_080,0.1421,0.1892,Barren Rocky,0.1935
SGR_ZONE_081,0.1687,0.2249,Alpine Scrub,0.3349
SGR_ZONE_082,0.3495,0.3434,Alpine Scrub,0.406
SGR_ZONE_083,0.3449,0.4,Alpine Scrub,0.44
SGR_ZONE_084,0.3454,0.4748,Alpine Scrub,0.4849
SGR_ZONE_085,0.2726,0.2621,Alpine Scrub,0.3573
SGR_ZONE_086,0.2343,0.2169,Alpine Scrub,0.3302
SGR_ZONE_087,0.3132,0.3616,Alpine Scrub,0.4169
SGR_ZONE_088,0.356,0.4329,Grassland,0.4598
SGR_ZONE_089,0.3499,0.4576,Alpine Scrub,0.4745
SGR_ZONE_090,0.3431,0.5135,Alpine Scrub,0.5081
SGR_ZONE_091,0.4302,0.4304,Grassland,0.4582
SGR_ZONE_092,0.3106,0.3658,Alpine Scrub,0.4195
SGR_ZONE_093,0.3948,0.47,Grassland,0.482
SGR_ZONE_094,0.4671,0.5102,Grassland,0.5061
SGR_ZONE_095,0.3781,0.3402,Grassland,0.4041
SGR_ZONE_096,0.4268,0.5123,Grassland,0.5074
SGR_ZONE_097,0.4963,0.4836,Grassland,0.4902
SGR_ZONE_098,0.5095,0.5797,Grassland,0.5478
SGR_ZONE_099,0.4412,0.493,Grassland,0.4958
SGR_ZONE_100,0.5325,0.5286,Grassland,0.5172
SGR_ZONE_101,0.5722,0.6574,Dense Brush,0.7344
SGR_ZONE_102,0.6454,0.7627,Dense Brush,0.7976
SGR_ZONE_103,0.4633,0.4628,Grassland,0.4777
SGR_ZONE_104,0.6289,0.7175,Dense Brush,0.7705
SGR_ZONE_105,0.6425,0.8994,Dense Brush,0.8797
SGR_ZONE_106,0.6599,0.7827,Dense Brush,0.8096
SGR_ZONE_107,0.7028,0.8056,Forest,0.8234
SGR_ZONE_108,0.6126,0.7118,Dense Brush,0.7671
SGR_ZONE_109,0.5866,0.6334,Dense Brush,0.72
SGR_ZONE_110,0.6193,0.6853,Dense Brush,0.7512
SGR_ZONE_111,0.85,0.8416,Forest,0.845
SGR_ZONE_112,0.7296,0.7219,Forest,0.7731
SGR_ZONE_113,0.6437,0.7625,Dense Brush,0.7975
SGR_ZONE_114,0.6924,0.7078,Dense Brush,0.7647
SGR_ZONE_115,0.6348,0.7322,Dense Brush,0.7793
SGR_ZONE_116,0.6372,0.7117,Dense Brush,0.767
SGR_ZONE_117,0.7018,0.7394,Forest,0.7837
SGR_ZONE_118,0.85,0.9667,Forest,0.92
SGR_ZONE_119,0.538,0.6011,Grassland,0.5607
SGR_ZONE_120,0.6463,0.7535,Dense Brush,0.7921
SGR_ZONE_121,0.6339,0.6916,Dense Brush,0.755
SGR_ZONE_122,0.7348,0.8515,Forest,0.8509
SGR_ZONE_123,0.5943,0.637,Dense Brush,0.7222
SGR_ZONE_124,0.6472,0.6792,Dense Brush,0.7475
SGR_ZONE_125,0.8202,0.9225,Forest,0.8935
SGR_ZONE_126,0.571,0.6739,Dense Brush,0.7444
SGR_ZONE_127,0.8334,0.9684,Forest,0.921
SGR_ZONE_128,0.533,0.5621,Grassland,0.5372
SGR_ZONE_129,0.7458,0.785,Forest,0.811
SGR_ZONE_130,0.6691,0.7747,Dense Brush,0.8048
SGR_ZONE_131,0.5477,0.5995,Grassland,0.5597
SGR_ZONE_132,0.3501,0.3339,Grassland,0.4003
SGR_ZONE_133,0.576,0.5712,Dense Brush,0.6827
SGR_ZONE_134,0.713,0.7128,Forest,0.7677
SGR_ZONE_135,0.5328,0.5926,Grassland,0.5556
SGR_ZONE_136,0.6683,0.6634,Dense Brush,0.738
SGR_ZONE_137,0.6307,0.6943,Dense Brush,0.7566
SGR_ZONE_138,0.4433,0.5107,Grassland,0.5064
SGR_ZONE_139,0.5216,0.5438,Grassland,0.5263
SGR_ZONE_140,0.4949,0.5252,Grassland,0.5151
SGR_ZONE_141,0.4819,0.5632,Grassland,0.5379
SGR_ZONE_142,0.5831,0.5795,Dense Brush,0.6877
SGR_ZONE_143,0.6102,0.5736,Dense Brush,0.6842
SGR_ZONE_144,0.4108,0.4813,Grassland,0.4888
SGR_ZONE_145,0.4289,0.4407,Grassland,0.4644
SGR_ZONE_146,0.3735,0.3862,Grassland,0.4317
SGR_ZONE_147,0.3269,0.4021,Alpine Scrub,0.4413
SGR_ZONE_148,0.3869,0.391,Grassland,0.4346
SGR_ZONE_149,0.4151,0.4719,Grassland,0.4832
SGR_ZONE_150,0.3933,0.4641,Grassland,0.4785
