Zone_ID,Historical_Event_Count,Successful_Detection_Count,Detection_Rate,Average_Response_Time,Night_Event_Count,Historical_Risk
SGR_ZONE_136,30,22,0.7333,30.64,30,0.3642
SGR_ZONE_137,44,32,0.7273,36.06,44,0.4632
SGR_ZONE_138,41,30,0.7317,32.27,41,0.4321
SGR_ZONE_139,38,30,0.7895,34.1,38,0.4011
SGR_ZONE_140,41,27,0.6585,32.93,41,0.4599
SGR_ZONE_141,44,34,0.7727,28.59,44,0.4223
SGR_ZONE_142,20,17,0.85,28.41,20,0.2597
SGR_ZONE_143,14,10,0.7143,33.6,14,0.2908
SGR_ZONE_144,36,23,0.6389,26.0,36,0.4156
SGR_ZONE_145,22,16,0.7273,28.44,22,0.314
SGR_ZONE_146,35,26,0.7429,32.58,35,0.3955
SGR_ZONE_147,40,30,0.75,32.83,40,0.4219
SGR_ZONE_148,44,31,0.7045,30.61,44,0.453
SGR_ZONE_149,41,34,0.8293,29.15,41,0.3875
SGR_ZONE_150,54,39,0.7222,34.9,54,0.5173
