Zone_ID,Human_Detection_Count,Vehicle_Detection_Count,Avg_Camera_Confidence,Night_Movement_Count,Camera_Activity_Score
SGR_ZONE_049,3,4,0.838,3,0.3633
SGR_ZONE_050,3,2,0.8744,4,0.3233
SGR_ZONE_051,3,1,0.8498,1,0.21
SGR_ZONE_052,4,1,0.8704,0,0.2333
SGR_ZONE_053,3,2,0.8935,4,0.3233
SGR_ZONE_054,8,3,0.8185,8,0.7133
SGR_ZONE_055,4,1,0.9193,4,0.34
SGR_ZONE_056,3,2,0.8069,5,0.35
SGR_ZONE_057,3,1,0.8247,5,0.3167
SGR_ZONE_058,8,0,0.8159,6,0.56
SGR_ZONE_059,5,4,0.8088,7,0.57
SGR_ZONE_060,1,3,0.8383,2,0.2033
SGR_ZONE_061,6,4,0.8539,3,0.5133
SGR_ZONE_062,2,3,0.8752,2,0.2533
SGR_ZONE_063,6,3,0.8488,8,0.6133
SGR_ZONE_064,2,4,0.7951,2,0.2867
SGR_ZONE_065,5,6,0.8424,6,0.61
SGR_ZONE_066,0,5,0.8396,3,0.2467
SGR_ZONE_067,5,1,0.8958,3,0.3633
SGR_ZONE_068,6,4,0.8105,5,0.5667
SGR_ZONE_069,4,1,0.8298,4,0.34
SGR_ZONE_070,3,3,0.8134,6,0.41
SGR_ZONE_071,3,2,0.8917,4,0.3233
SGR_ZONE_072,5,5,0.8618,3,0.4967
SGR_ZONE_073,3,3,0.7935,3,0.33
SGR_ZONE_074,7,7,0.8007,7,0.77
SGR_ZONE_075,3,3,0.8539,3,0.33
SGR_ZONE_076,2,2,0.9149,1,0.1933
SGR_ZONE_077,2,2,0.8403,1,0.1933
SGR_ZONE_078,5,1,0.8638,3,0.3633
SGR_ZONE_079,4,4,0.8463,6,0.4933
SGR_ZONE_080,2,1,0.8954,2,0.1867
SGR_ZONE_081,4,1,0.8674,1,0.26
SGR_ZONE_082,2,2,0.8342,3,0.2467
SGR_ZONE_083,4,4,0.8568,4,0.44
SGR_ZONE_084,4,1,0.7897,2,0.2867
SGR_ZONE_085,5,5,0.8484,6,0.5767
SGR_ZONE_086,3,3,0.8517,2,0.3033
SGR_ZONE_087,5,1,0.9041,6,0.4433
SGR_ZONE_088,1,1,0.8248,1,0.11
SGR_ZONE_089,3,5,0.8002,4,0.4233
SGR_ZONE_090,3,3,0.788,1,0.2767
SGR_ZONE_091,7,2,0.844,4,0.5233
SGR_ZONE_092,3,4,0.8515,3,0.3633
SGR_ZONE_093,4,3,0.8767,5,0.4333
SGR_ZONE_094,4,3,0.8579,5,0.4333
SGR_ZONE_095,3,1,0.9012,3,0.2633
SGR_ZONE_096,3,4,0.8334,3,0.3633
SGR_ZONE_097,1,3,0.8282,5,0.2833
SGR_ZONE_098,8,5,0.814,6,0.7267
SGR_ZONE_099,4,4,0.8204,5,0.4667
SGR_ZONE_100,6,1,0.8382,6,0.4933
SGR_ZONE_101,3,1,0.8553,4,0.29
SGR_ZONE_102,2,0,0.8966,1,0.1267
SGR_ZONE_103,6,4,0.8264,5,0.5667
SGR_ZONE_104,2,2,0.8629,4,0.2733
SGR_ZONE_105,6,1,0.8645,4,0.44
SGR_ZONE_106,3,4,0.8679,0,0.2833
SGR_ZONE_107,1,5,0.8159,3,0.2967
SGR_ZONE_108,7,0,0.8545,2,0.4033
SGR_ZONE_109,4,1,0.8476,5,0.3667
SGR_ZONE_110,3,3,0.8642,6,0.41
SGR_ZONE_111,2,1,0.8207,1,0.16
SGR_ZONE_112,5,4,0.8544,7,0.57
SGR_ZONE_113,1,3,0.8744,3,0.23
SGR_ZONE_114,2,2,0.7686,2,0.22
SGR_ZONE_115,3,5,0.8354,2,0.37
SGR_ZONE_116,4,6,0.8364,5,0.5333
SGR_ZONE_117,3,1,0.8844,3,0.2633
SGR_ZONE_118,4,1,0.8551,3,0.3133
SGR_ZONE_119,4,3,0.8813,4,0.4067
SGR_ZONE_120,3,2,0.8403,3,0.2967
SGR_ZONE_121,2,4,0.8644,2,0.2867
SGR_ZONE_122,8,4,0.8699,9,0.7733
SGR_ZONE_123,1,3,0.8649,1,0.1767
SGR_ZONE_124,3,2,0.8771,3,0.2967
SGR_ZONE_125,2,5,0.8272,4,0.3733
SGR_ZONE_126,4,6,0.8259,6,0.56
SGR_ZONE_127,3,4,0.8535,6,0.4433
SGR_ZONE_128,7,1,0.8222,5,0.5167
SGR_ZONE_129,6,2,0.8344,2,0.42
SGR_ZONE_130,3,0,0.8062,3,0.23
SGR_ZONE_131,8,1,0.8244,7,0.62
SGR_ZONE_132,6,3,0.8125,4,0.5067
SGR_ZONE_133,1,1,0.8906,1,0.11
SGR_ZONE_134,4,6,0.8307,5,0.5333
SGR_ZONE_135,0,5,0.7832,3,0.2467
SGR_ZONE_136,1,3,0.8911,1,0.1767
SGR_ZONE_137,6,4,0.8231,4,0.54
SGR_ZONE_138,2,3,0.8767,3,0.28
SGR_ZONE_139,1,5,0.8105,2,0.27
SGR_ZONE_140,3,1,0.8461,2,0.2367
SGR_ZONE_141,6,4,0.8741,7,0.62
SGR_ZONE_142,2,0,0.8195,1,0.1267
SGR_ZONE_143,5,5,0.7876,4,0.5233
SGR_ZONE_144,4,2,0.8211,6,0.4267
SGR_ZONE_145,4,4,0.8129,2,0.3867
SGR_ZONE_146,6,6,0.8015,5,0.6333
SGR_ZONE_147,3,2,0.9036,3,0.2967
SGR_ZONE_148,1,1,0.7424,1,0.11
SGR_ZONE_149,3,2,0.8562,5,0.35
SGR_ZONE_150,3,3,0.9288,4,0.3567
