Event_ID,Zone_ID,Sensor_ID,Sensor_Type,Reading,Timestamp
SNS_EVT_00033,SGR_ZONE_109,SNS_SEI_109_02,Seismic,0.503,2026-08-21 18:16:55
SNS_EVT_00034,SGR_ZONE_063,SNS_ACO_063_04,Acoustic,0.1047,2026-08-21 11:52:00
SNS_EVT_00035,SGR_ZONE_058,SNS_INF_058_01,Infrared,0.0833,2026-08-21 00:15:38
SNS_EVT_00036,SGR_ZONE_069,SNS_VIB_069_03,Vibration,0.3373,2026-08-21 04:46:48
SNS_EVT_00037,SGR_ZONE_094,SNS_SEI_094_01,Seismic,0.1391,2026-08-21 04:22:57
SNS_EVT_00038,SGR_ZONE_010,SNS_VIB_010_04,Vibration,0.2876,2026-08-21 04:44:03
SNS_EVT_00039,SGR_ZONE_016,SNS_INF_016_01,Infrared,0.2359,2026-08-21 00:32:50
SNS_EVT_00040,SGR_ZONE_101,SNS_SEI_101_03,Seismic,0.2462,2026-08-21 13:01:50
SNS_EVT_00041,SGR_ZONE_035,SNS_MOT_035_02,Motion,0.4529,2026-08-21 03:57:52
SNS_EVT_00042,SGR_ZONE_114,SNS_VIB_114_03,Vibration,0.2652,2026-08-21 08:23:34
SNS_EVT_00043,SGR_ZONE_099,SNS_SEI_099_02,Seismic,0.5338,2026-08-21 22:12:22
SNS_EVT_00044,SGR_ZONE_099,SNS_MOT_099_02,Motion,0.1942,2026-08-21 16:35:11
SNS_EVT_00045,SGR_ZONE_147,SNS_SEI_147_01,Seismic,0.3257,2026-08-21 20:04:34
SNS_EVT_00046,SGR_ZONE_140,SNS_MOT_140_04,Motion,0.8384,2026-08-21 06:13:30
SNS_EVT_00047,SGR_ZONE_122,SNS_VIB_122_03,Vibration,0.1638,2026-08-21 11:16:37
SNS_EVT_00048,SGR_ZONE_007,SNS_VIB_007_04,Vibration,0.1788,2026-08-21 00:21:51
SNS_EVT_00049,SGR_ZONE_145,SNS_MOT_145_01,Motion,0.1029,2026-08-21 09:25:18
SNS_EVT_00050,SGR_ZONE_039,SNS_ACO_039_01,Acoustic,0.8818,2026-08-21 00:02:12
SNS_EVT_00051,SGR_ZONE_092,SNS_MOT_092_03,Motion,0.1482,2026-08-21 12:31:44
SNS_EVT_00052,SGR_ZONE_061,SNS_VIB_061_04,Vibration,0.2959,2026-08-21 17:46:40
SNS_EVT_00053,SGR_ZONE_049,SNS_MOT_049_01,Motion,0.0791,2026-08-21 15:07:37
SNS_EVT_00054,SGR_ZONE_117,SNS_INF_117_04,Infrared,0.0568,2026-08-21 03:26:53
SNS_EVT_00055,SGR_ZONE_145,SNS_MOT_145_01,Motion,0.9633,2026-08-21 18:04:46
SNS_EVT_00056,SGR_ZONE_010,SNS_INF_010_03,Infrared,0.4983,2026-08-21 21:58:26
SNS_EVT_00057,SGR_ZONE_098,SNS_MOT_098_03,Motion,0.3471,2026-08-21 22:36:52
SNS_EVT_00058,SGR_ZONE_083,SNS_MOT_083_01,Motion,0.1267,2026-08-21 16:39:31
SNS_EVT_00059,SGR_ZONE_034,SNS_SEI_034_03,Seismic,0.3978,2026-08-21 11:00:53
SNS_EVT_00060,SGR_ZONE_133,SNS_ACO_133_01,Acoustic,0.0764,2026-08-21 10:50:38
SNS_EVT_00061,SGR_ZONE_038,SNS_INF_038_02,Infrared,0.2181,2026-08-21 00:23:14
SNS_EVT_00062,SGR_ZONE_030,SNS_INF_030_03,Infrared,0.3441,2026-08-21 19:23:04
SNS_EVT_00063,SGR_ZONE_034,SNS_VIB_034_02,Vibration,0.7359,2026-08-21 10:53:15
SNS_EVT_00064,SGR_ZONE_008,SNS_SEI_008_04,Seismic,0.0857,2026-08-21 18:18:20
SNS_EVT_00065,SGR_ZONE_005,SNS_INF_005_04,Infrared,0.2346,2026-08-21 13:33:48
SNS_EVT_00066,SGR_ZONE_078,SNS_INF_078_01,Infrared,0.1933,2026-08-21 10:47:16
SNS_EVT_00067,SGR_ZONE_026,SNS_SEI_026_01,Seismic,0.3752,2026-08-21 13:25:27
SNS_EVT_00068,SGR_ZONE_078,SNS_INF_078_01,Infrared,0.9428,2026-08-21 05:34:50
SNS_EVT_00069,SGR_ZONE_015,SNS_MOT_015_03,Motion,0.2394,2026-08-21 11:24:16
SNS_EVT_00070,SGR_ZONE_013,SNS_SEI_013_01,Seismic,0.3555,2026-08-21 01:46:07
SNS_EVT_00071,SGR_ZONE_113,SNS_SEI_113_03,Seismic,0.1245,2026-08-21 12:05:36
SNS_EVT_00072,SGR_ZONE_121,SNS_MOT_121_01,Motion,0.2064,2026-08-21 22:08:54
SNS_EVT_00073,SGR_ZONE_131,SNS_ACO_131_03,Acoustic,0.3092,2026-08-21 03:14:05
SNS_EVT_00074,SGR_ZONE_118,SNS_MOT_118_02,Motion,0.4566,2026-08-21 18:44:43
SNS_EVT_00075,SGR_ZONE_133,SNS_INF_133_02,Infrared,0.1077,2026-08-21 13:37:36
SNS_EVT_00076,SGR_ZONE_126,SNS_ACO_126_03,Acoustic,0.7177,2026-08-21 11:01:12
SNS_EVT_00077,SGR_ZONE_130,SNS_SEI_130_01,Seismic,0.9382,2026-08-21 11:49:13
SNS_EVT_00078,SGR_ZONE_117,SNS_ACO_117_01,Acoustic,0.9188,2026-08-21 10:40:36
SNS_EVT_00079,SGR_ZONE_014,SNS_SEI_014_02,Seismic,0.1682,2026-08-21 12:41:24
SNS_EVT_00080,SGR_ZONE_146,SNS_ACO_146_01,Acoustic,0.5273,2026-08-21 22:01:13
SNS_EVT_00081,SGR_ZONE_053,SNS_ACO_053_03,Acoustic,0.0493,2026-08-21 19:29:38
SNS_EVT_00082,SGR_ZONE_038,SNS_MOT_038_01,Motion,0.3373,2026-08-21 04:58:09
SNS_EVT_00083,SGR_ZONE_097,SNS_VIB_097_03,Vibration,0.3865,2026-08-21 14:03:11
SNS_EVT_00084,SGR_ZONE_130,SNS_ACO_130_03,Acoustic,0.2788,2026-08-21 09:39:37
SNS_EVT_00085,SGR_ZONE_134,SNS_INF_134_02,Infrared,0.3572,2026-08-21 07:59:42
SNS_EVT_00086,SGR_ZONE_100,SNS_SEI_100_01,Seismic,0.2565,2026-08-21 21:50:28
SNS_EVT_00087,SGR_ZONE_040,SNS_MOT_040_02,Motion,0.2106,2026-08-21 21:54:50
SNS_EVT_00088,SGR_ZONE_143,SNS_VIB_143_03,Vibration,0.2789,2026-08-21 19:24:25
SNS_EVT_00089,SGR_ZONE_075,SNS_INF_075_03,Infrared,0.5563,2026-08-21 18:53:23
SNS_EVT_00090,SGR_ZONE_025,SNS_SEI_025_02,Seismic,0.1153,2026-08-21 16:19:40
SNS_EVT_00091,SGR_ZONE_148,SNS_SEI_148_03,Seismic,0.2495,2026-08-21 23:18:31
SNS_EVT_00092,SGR_ZONE_029,SNS_MOT_029_01,Motion,0.4751,2026-08-21 17:01:53
SNS_EVT_00093,SGR_ZONE_113,SNS_INF_113_02,Infrared,0.0989,2026-08-21 09:09:18
SNS_EVT_00094,SGR_ZONE_110,SNS_INF_110_04,Infrared,0.7349,2026-08-21 07:53:56
SNS_EVT_00095,SGR_ZONE_067,SNS_ACO_067_01,Acoustic,0.4684,2026-08-21 13:42:15
SNS_EVT_00096,SGR_ZONE_142,SNS_INF_142_03,Infrared,0.3866,2026-08-21 17:01:00
SNS_EVT_00097,SGR_ZONE_047,SNS_VIB_047_04,Vibration,0.4768,2026-08-21 04:37:29
SNS_EVT_00098,SGR_ZONE_137,SNS_INF_137_01,Infrared,0.3046,2026-08-21 23:58:45
SNS_EVT_00099,SGR_ZONE_128,SNS_MOT_128_02,Motion,0.5004,2026-08-21 03:25:57
SNS_EVT_00100,SGR_ZONE_029,SNS_VIB_029_02,Vibration,0.0515,2026-08-21 22:52:41
SNS_EVT_00101,SGR_ZONE_086,SNS_VIB_086_03,Vibration,0.3471,2026-08-21 20:27:57
SNS_EVT_00102,SGR_ZONE_046,SNS_INF_046_04,Infrared,0.3073,2026-08-21 03:48:58
SNS_EVT_00103,SGR_ZONE_039,SNS_ACO_039_02,Acoustic,0.1759,2026-08-21 12:42:33
SNS_EVT_00104,SGR_ZONE_073,SNS_MOT_073_04,Motion,0.0348,2026-08-21 02:49:36
SNS_EVT_00105,SGR_ZONE_108,SNS_SEI_108_03,Seismic,0.4715,2026-08-21 16:09:56
SNS_EVT_00106,SGR_ZONE_055,SNS_MOT_055_03,Motion,0.311,2026-08-21 07:24:17
SNS_EVT_00107,SGR_ZONE_089,SNS_SEI_089_03,Seismic,0.3533,2026-08-21 16:22:25
SNS_EVT_00108,SGR_ZONE_086,SNS_INF_086_03,Infrared,0.3113,2026-08-21 22:28:17
SNS_EVT_00109,SGR_ZONE_116,SNS_ACO_116_02,Acoustic,0.2942,2026-08-21 12:33:02
SNS_EVT_00110,SGR_ZONE_037,SNS_ACO_037_04,Acoustic,0.3173,2026-08-21 21:24:12
SNS_EVT_00111,SGR_ZONE_016,SNS_VIB_016_02,Vibration,0.7519,2026-08-21 17:31:31
SNS_EVT_00112,SGR_ZONE_123,SNS_SEI_123_01,Seismic,0.4994,2026-08-21 09:29:24
SNS_EVT_00113,SGR_ZONE_103,SNS_SEI_103_01,Seismic,0.0545,2026-08-21 15:00:52
SNS_EVT_00114,SGR_ZONE_073,SNS_MOT_073_01,Motion,0.8169,2026-08-21 23:45:23
SNS_EVT_00115,SGR_ZONE_011,SNS_VIB_011_02,Vibration,0.2872,2026-08-21 08:48:57
SNS_EVT_00116,SGR_ZONE_003,SNS_VIB_003_01,Vibration,0.0793,2026-08-21 09:34:49
SNS_EVT_00117,SGR_ZONE_082,SNS_MOT_082_04,Motion,0.9506,2026-08-21 04:33:10
SNS_EVT_00118,SGR_ZONE_105,SNS_ACO_105_03,Acoustic,0.2498,2026-08-21 14:37:07
SNS_EVT_00119,SGR_ZONE_133,SNS_INF_133_02,Infrared,0.1734,2026-08-21 18:57:02
SNS_EVT_00120,SGR_ZONE_056,SNS_INF_056_04,Infrared,0.0528,2026-08-21 00:58:58
SNS_EVT_00121,SGR_ZONE_048,SNS_MOT_048_01,Motion,0.2618,2026-08-21 06:04:42
SNS_EVT_00122,SGR_ZONE_045,SNS_INF_045_01,Infrared,0.2853,2026-08-21 13:12:28
SNS_EVT_00123,SGR_ZONE_012,SNS_INF_012_04,Infrared,0.281,2026-08-21 23:44:34
SNS_EVT_00124,SGR_ZONE_070,SNS_ACO_070_02,Acoustic,0.2872,2026-08-21 04:28:21
SNS_EVT_00125,SGR_ZONE_148,SNS_SEI_148_02,Seismic,0.9387,2026-08-21 13:46:28
SNS_EVT_00126,SGR_ZONE_125,SNS_SEI_125_03,Seismic,0.4904,2026-08-21 01:28:03
SNS_EVT_00127,SGR_ZONE_099,SNS_VIB_099_01,Vibration,0.8905,2026-08-21 21:10:26
SNS_EVT_00128,SGR_ZONE_081,SNS_SEI_081_04,Seismic,0.3734,2026-08-21 04:02:58
SNS_EVT_00129,SGR_ZONE_001,SNS_INF_001_04,Infrared,0.3208,2026-08-21 17:14:43
SNS_EVT_00130,SGR_ZONE_027,SNS_SEI_027_02,Seismic,0.3662,2026-08-21 11:52:23
SNS_EVT_00131,SGR_ZONE_060,SNS_INF_060_03,Infrared,0.3865,2026-08-21 19:35:08
SNS_EVT_00132,SGR_ZONE_063,SNS_VIB_063_01,Vibration,0.3562,2026-08-21 05:31:10
SNS_EVT_00133,SGR_ZONE_045,SNS_MOT_045_01,Motion,0.7288,2026-08-21 13:31:14
SNS_EVT_00134,SGR_ZONE_080,SNS_SEI_080_04,Seismic,0.9309,2026-08-21 21:38:01
SNS_EVT_00135,SGR_ZONE_103,SNS_INF_103_02,Infrared,0.1343,2026-08-21 08:05:08
SNS_EVT_00136,SGR_ZONE_103,SNS_MOT_103_02,Motion,0.2698,2026-08-21 06:10:19
SNS_EVT_00137,SGR_ZONE_132,SNS_INF_132_02,Infrared,0.7169,2026-08-21 22:11:12
SNS_EVT_00138,SGR_ZONE_025,SNS_VIB_025_03,Vibration,0.5196,2026-08-21 17:05:17
SNS_EVT_00139,SGR_ZONE_150,SNS_VIB_150_04,Vibration,0.2512,2026-08-21 21:14:32
SNS_EVT_00140,SGR_ZONE_135,SNS_SEI_135_01,Seismic,0.191,2026-08-21 11:19:59
SNS_EVT_00141,SGR_ZONE_050,SNS_MOT_050_03,Motion,0.2474,2026-08-21 01:35:05
SNS_EVT_00142,SGR_ZONE_039,SNS_INF_039_03,Infrared,0.9004,2026-08-21 15:29:22
SNS_EVT_00143,SGR_ZONE_042,SNS_SEI_042_02,Seismic,0.435,2026-08-21 14:13:55
SNS_EVT_00144,SGR_ZONE_084,SNS_INF_084_03,Infrared,0.1927,2026-08-21 00:39:11
SNS_EVT_00145,SGR_ZONE_045,SNS_ACO_045_02,Acoustic,0.2436,2026-08-21 00:04:19
SNS_EVT_00146,SGR_ZONE_008,SNS_ACO_008_04,Acoustic,0.112,2026-08-21 04:11:36
SNS_EVT_00147,SGR_ZONE_049,SNS_MOT_049_04,Motion,0.7755,2026-08-21 01:08:36
SNS_EVT_00148,SGR_ZONE_020,SNS_INF_020_01,Infrared,0.8637,2026-08-21 11:41:19
SNS_EVT_00149,SGR_ZONE_043,SNS_INF_043_01,Infrared,0.1955,2026-08-21 11:37:19
SNS_EVT_00150,SGR_ZONE_128,SNS_VIB_128_04,Vibration,0.8883,2026-08-21 05:04:46
SNS_EVT_00151,SGR_ZONE_086,SNS_INF_086_01,Infrared,0.114,2026-08-21 07:46:39
SNS_EVT_00152,SGR_ZONE_113,SNS_SEI_113_03,Seismic,0.2258,2026-08-21 20:47:04
SNS_EVT_00153,SGR_ZONE_105,SNS_INF_105_02,Infrared,0.4507,2026-08-21 12:30:40
SNS_EVT_00154,SGR_ZONE_068,SNS_INF_068_01,Infrared,0.3245,2026-08-21 22:18:44
SNS_EVT_00155,SGR_ZONE_075,SNS_MOT_075_04,Motion,0.5519,2026-08-21 14:20:18
SNS_EVT_00156,SGR_ZONE_060,SNS_VIB_060_01,Vibration,0.7249,2026-08-21 07:45:13
SNS_EVT_00157,SGR_ZONE_074,SNS_INF_074_02,Infrared,0.456,2026-08-21 11:04:33
SNS_EVT_00158,SGR_ZONE_048,SNS_VIB_048_03,Vibration,0.1729,2026-08-21 10:44:20
SNS_EVT_00159,SGR_ZONE_107,SNS_VIB_107_04,Vibration,0.4962,2026-08-21 18:33:13
SNS_EVT_00160,SGR_ZONE_125,SNS_SEI_125_04,Seismic,0.4346,2026-08-21 09:35:29
SNS_EVT_00161,SGR_ZONE_146,SNS_INF_146_01,Infrared,0.2859,2026-08-21 06:12:30
SNS_EVT_00162,SGR_ZONE_071,SNS_MOT_071_02,Motion,0.4786,2026-08-21 11:55:44
SNS_EVT_00163,SGR_ZONE_106,SNS_ACO_106_01,Acoustic,0.3796,2026-08-21 09:23:57
SNS_EVT_00164,SGR_ZONE_121,SNS_VIB_121_02,Vibration,0.4112,2026-08-21 18:35:59
SNS_EVT_00165,SGR_ZONE_089,SNS_INF_089_03,Infrared,0.0755,2026-08-21 01:32:54
SNS_EVT_00166,SGR_ZONE_149,SNS_MOT_149_02,Motion,0.0627,2026-08-21 13:12:56
SNS_EVT_00167,SGR_ZONE_002,SNS_ACO_002_03,Acoustic,0.6839,2026-08-21 06:23:59
SNS_EVT_00168,SGR_ZONE_046,SNS_ACO_046_04,Acoustic,0.9504,2026-08-21 02:08:07
SNS_EVT_00169,SGR_ZONE_097,SNS_ACO_097_02,Acoustic,0.3457,2026-08-21 20:07:37
SNS_EVT_00170,SGR_ZONE_050,SNS_ACO_050_02,Acoustic,0.271,2026-08-21 05:16:34
SNS_EVT_00171,SGR_ZONE_098,SNS_SEI_098_04,Seismic,0.1503,2026-08-21 22:15:11
SNS_EVT_00172,SGR_ZONE_145,SNS_SEI_145_04,Seismic,0.5047,2026-08-21 11:00:56
SNS_EVT_00173,SGR_ZONE_030,SNS_VIB_030_04,Vibration,0.2022,2026-08-21 05:51:33
SNS_EVT_00174,SGR_ZONE_142,SNS_SEI_142_01,Seismic,0.3342,2026-08-21 00:10:02
SNS_EVT_00175,SGR_ZONE_055,SNS_ACO_055_02,Acoustic,0.0701,2026-08-21 13:05:02
SNS_EVT_00176,SGR_ZONE_080,SNS_SEI_080_02,Seismic,0.3776,2026-08-21 19:17:09
SNS_EVT_00177,SGR_ZONE_025,SNS_INF_025_01,Infrared,0.153,2026-08-21 13:51:02
SNS_EVT_00178,SGR_ZONE_134,SNS_MOT_134_01,Motion,0.0546,2026-08-21 13:19:17
SNS_EVT_00179,SGR_ZONE_060,SNS_VIB_060_03,Vibration,0.3767,2026-08-21 09:24:01
SNS_EVT_00180,SGR_ZONE_126,SNS_ACO_126_02,Acoustic,0.3894,2026-08-21 18:06:15
SNS_EVT_00181,SGR_ZONE_144,SNS_SEI_144_01,Seismic,0.3646,2026-08-21 06:49:36
SNS_EVT_00182,SGR_ZONE_116,SNS_VIB_116_03,Vibration,0.2875,2026-08-21 22:01:26
SNS_EVT_00183,SGR_ZONE_149,SNS_VIB_149_02,Vibration,0.1839,2026-08-21 12:20:52
SNS_EVT_00184,SGR_ZONE_082,SNS_VIB_082_01,Vibration,0.1959,2026-08-21 22:52:25
SNS_EVT_00185,SGR_ZONE_034,SNS_SEI_034_04,Seismic,0.4085,2026-08-21 20:41:12
SNS_EVT_00186,SGR_ZONE_113,SNS_MOT_113_04,Motion,0.1321,2026-08-21 09:49:57
SNS_EVT_00187,SGR_ZONE_021,SNS_SEI_021_03,Seismic,0.1708,2026-08-21 22:23:44
SNS_EVT_00188,SGR_ZONE_069,SNS_SEI_069_01,Seismic,0.71,2026-08-21 19:20:39
SNS_EVT_00189,SGR_ZONE_058,SNS_SEI_058_03,Seismic,0.5846,2026-08-21 07:09:37
SNS_EVT_00190,SGR_ZONE_111,SNS_SEI_111_01,Seismic,0.0414,2026-08-21 16:35:03
SNS_EVT_00191,SGR_ZONE_078,SNS_MOT_078_01,Motion,0.8328,2026-08-21 01:53:12
SNS_EVT_00192,SGR_ZONE_095,SNS_SEI_095_02,Seismic,0.2111,2026-08-21 13:59:57
SNS_EVT_00193,SGR_ZONE_114,SNS_SEI_114_02,Seismic,0.2358,2026-08-21 22:38:48
SNS_EVT_00194,SGR_ZONE_012,SNS_MOT_012_03,Motion,0.5887,2026-08-21 06:22:43
SNS_EVT_00195,SGR_ZONE_086,SNS_ACO_086_01,Acoustic,0.4582,2026-08-21 18:22:23
SNS_EVT_00196,SGR_ZONE_044,SNS_VIB_044_02,Vibration,0.1556,2026-08-21 06:43:46
SNS_EVT_00197,SGR_ZONE_025,SNS_VIB_025_03,Vibration,0.4883,2026-08-21 03:39:34
SNS_EVT_00198,SGR_ZONE_064,SNS_INF_064_02,Infrared,0.1777,2026-08-21 08:47:12
SNS_EVT_00199,SGR_ZONE_137,SNS_SEI_137_04,Seismic,0.4131,2026-08-21 10:15:50
SNS_EVT_00200,SGR_ZONE_070,SNS_ACO_070_01,Acoustic,0.229,2026-08-21 04:37:20
SNS_EVT_00201,SGR_ZONE_054,SNS_VIB_054_02,Vibration,0.0632,2026-08-21 03:28:13
SNS_EVT_00202,SGR_ZONE_003,SNS_VIB_003_04,Vibration,0.1987,2026-08-21 18:30:59
SNS_EVT_00203,SGR_ZONE_060,SNS_ACO_060_01,Acoustic,0.2407,2026-08-21 20:30:35
SNS_EVT_00204,SGR_ZONE_019,SNS_VIB_019_04,Vibration,0.9244,2026-08-21 14:10:56
SNS_EVT_00205,SGR_ZONE_118,SNS_VIB_118_01,Vibration,0.2698,2026-08-21 13:59:10
SNS_EVT_00206,SGR_ZONE_103,SNS_MOT_103_02,Motion,0.7068,2026-08-21 21:44:05
SNS_EVT_00207,SGR_ZONE_081,SNS_ACO_081_01,Acoustic,0.1455,2026-08-21 20:09:04
SNS_EVT_00208,SGR_ZONE_100,SNS_INF_100_04,Infrared,0.1064,2026-08-21 20:29:23
SNS_EVT_00209,SGR_ZONE_108,SNS_INF_108_02,Infrared,0.1904,2026-08-21 15:53:30
SNS_EVT_00210,SGR_ZONE_106,SNS_MOT_106_01,Motion,0.1238,2026-08-21 10:56:20
SNS_EVT_00211,SGR_ZONE_007,SNS_INF_007_04,Infrared,0.8173,2026-08-21 13:56:36
SNS_EVT_00212,SGR_ZONE_058,SNS_VIB_058_02,Vibration,0.4405,2026-08-21 20:11:56
SNS_EVT_00213,SGR_ZONE_117,SNS_SEI_117_03,Seismic,0.9408,2026-08-21 10:40:38
SNS_EVT_00214,SGR_ZONE_086,SNS_MOT_086_01,Motion,0.886,2026-08-21 01:09:33
SNS_EVT_00215,SGR_ZONE_144,SNS_ACO_144_01,Acoustic,0.1424,2026-08-21 02:50:48
SNS_EVT_00216,SGR_ZONE_032,SNS_VIB_032_04,Vibration,0.8847,2026-08-21 19:27:13
SNS_EVT_00217,SGR_ZONE_125,SNS_MOT_125_04,Motion,0.3936,2026-08-21 19:34:05
SNS_EVT_00218,SGR_ZONE_023,SNS_MOT_023_03,Motion,0.1527,2026-08-21 03:36:20
SNS_EVT_00219,SGR_ZONE_072,SNS_MOT_072_03,Motion,0.0798,2026-08-21 01:06:15
SNS_EVT_00220,SGR_ZONE_131,SNS_VIB_131_03,Vibration,0.8018,2026-08-21 15:42:36
SNS_EVT_00221,SGR_ZONE_004,SNS_ACO_004_04,Acoustic,0.1406,2026-08-21 20:20:29
SNS_EVT_00222,SGR_ZONE_013,SNS_INF_013_04,Infrared,0.4107,2026-08-21 04:34:27
SNS_EVT_00223,SGR_ZONE_009,SNS_SEI_009_02,Seismic,0.4904,2026-08-21 11:08:20
SNS_EVT_00224,SGR_ZONE_131,SNS_SEI_131_04,Seismic,0.061,2026-08-21 02:51:33
SNS_EVT_00225,SGR_ZONE_041,SNS_ACO_041_03,Acoustic,0.4801,2026-08-21 11:10:29
SNS_EVT_00226,SGR_ZONE_015,SNS_ACO_015_03,Acoustic,0.2777,2026-08-21 19:59:00
SNS_EVT_00227,SGR_ZONE_087,SNS_ACO_087_04,Acoustic,0.1831,2026-08-21 20:45:51
SNS_EVT_00228,SGR_ZONE_142,SNS_SEI_142_04,Seismic,0.4369,2026-08-21 05:58:26
SNS_EVT_00229,SGR_ZONE_091,SNS_INF_091_04,Infrared,0.1201,2026-08-21 13:58:19
SNS_EVT_00230,SGR_ZONE_113,SNS_MOT_113_04,Motion,0.2953,2026-08-21 18:02:41
SNS_EVT_00231,SGR_ZONE_019,SNS_MOT_019_04,Motion,0.0892,2026-08-21 13:55:37
SNS_EVT_00232,SGR_ZONE_061,SNS_SEI_061_04,Seismic,0.0475,2026-08-21 13:29:40
SNS_EVT_00233,SGR_ZONE_068,SNS_SEI_068_04,Seismic,0.1589,2026-08-21 15:28:48
SNS_EVT_00234,SGR_ZONE_012,SNS_ACO_012_03,Acoustic,0.7263,2026-08-21 08:03:34
SNS_EVT_00235,SGR_ZONE_065,SNS_VIB_065_03,Vibration,0.0703,2026-08-21 19:28:21
SNS_EVT_00236,SGR_ZONE_021,SNS_ACO_021_02,Acoustic,0.8077,2026-08-21 12:02:21
SNS_EVT_00237,SGR_ZONE_091,SNS_MOT_091_01,Motion,0.8691,2026-08-21 07:18:59
SNS_EVT_00238,SGR_ZONE_106,SNS_MOT_106_01,Motion,0.4869,2026-08-21 23:48:12
SNS_EVT_00239,SGR_ZONE_049,SNS_MOT_049_02,Motion,0.2813,2026-08-21 09:42:53
SNS_EVT_00240,SGR_ZONE_126,SNS_MOT_126_01,Motion,0.1314,2026-08-21 22:40:38
SNS_EVT_00241,SGR_ZONE_141,SNS_ACO_141_02,Acoustic,0.302,2026-08-21 20:44:11
SNS_EVT_00242,SGR_ZONE_045,SNS_INF_045_03,Infrared,0.3324,2026-08-21 03:29:32
SNS_EVT_00243,SGR_ZONE_127,SNS_SEI_127_02,Seismic,0.3826,2026-08-21 18:14:40
SNS_EVT_00244,SGR_ZONE_002,SNS_VIB_002_01,Vibration,0.7324,2026-08-21 06:27:02
SNS_EVT_00245,SGR_ZONE_084,SNS_ACO_084_01,Acoustic,0.1063,2026-08-21 00:54:44
