Zone_ID,Temperature,Humidity,Pressure,Visibility,Wind_Speed,Clouds,Visibility_Risk,Weather_Risk
SGR_ZONE_063,0.4026,0.6875,0.3125,10000.0,0.8325,0.3021,1,0.3182
SGR_ZONE_064,0.2985,0.7288,0.375,10000.0,0.8482,0.375,1,0.3224
SGR_ZONE_065,0.2449,0.8169,0.4375,10000.0,0.9622,0.4688,1,0.3469
SGR_ZONE_066,0.372,0.8394,0.4375,10000.0,1.0,0.4479,1,0.3436
SGR_ZONE_067,0.316,0.9119,0.5,10000.0,0.8439,0.4271,1,0.3757
SGR_ZONE_068,0.2654,0.9688,0.5,10000.0,0.7857,0.3958,1,0.4007
SGR_ZONE_069,0.353,1.0,0.5625,10000.0,0.6771,0.5,1,0.4366
SGR_ZONE_070,0.3703,1.0,0.5625,10000.0,0.6045,0.5833,1,0.4513
SGR_ZONE_071,0.1857,0.9644,0.5625,10000.0,0.6765,0.7396,1,0.4718
SGR_ZONE_072,0.2311,0.9587,0.625,10000.0,0.8073,0.7917,1,0.4588
SGR_ZONE_073,0.2406,0.9219,0.6875,10000.0,0.7431,0.7917,1,0.4511
SGR_ZONE_074,0.3791,0.8694,0.8125,10000.0,0.6681,0.6875,1,0.4269
SGR_ZONE_075,0.105,0.77,0.9375,10000.0,0.4208,0.5417,1,0.4541
SGR_ZONE_076,0.3497,0.6675,1.0,10000.0,0.2221,0.4583,1,0.4275
SGR_ZONE_077,0.5794,0.6306,1.0,10000.0,0.2731,0.4688,1,0.3955
SGR_ZONE_078,0.4161,0.625,1.0,10000.0,0.3409,0.5208,1,0.3989
SGR_ZONE_079,0.0,0.6194,0.75,10000.0,0.3355,0.6875,1,0.4602
SGR_ZONE_080,0.1191,0.6138,0.5625,10000.0,0.4118,0.8437,1,0.4596
SGR_ZONE_081,0.2762,0.5425,0.375,10000.0,0.4376,0.9687,1,0.4591
SGR_ZONE_082,0.2196,0.5212,0.25,10000.0,0.3397,1.0,1,0.4708
SGR_ZONE_083,0.2375,0.5156,0.25,10000.0,0.395,0.9583,1,0.4579
SGR_ZONE_084,0.5935,0.4944,0.25,10000.0,0.4838,0.8542,1,0.3936
SGR_ZONE_085,0.4173,0.4888,0.3125,10000.0,0.4742,0.8021,1,0.3807
SGR_ZONE_086,0.1742,0.3862,0.3125,10000.0,0.5,0.7292,1,0.3842
SGR_ZONE_087,0.2245,0.3181,0.3125,10000.0,0.3787,0.6771,1,0.3804
SGR_ZONE_088,0.0784,0.25,0.375,10000.0,0.4658,0.5937,1,0.3469
SGR_ZONE_089,0.105,0.2444,0.375,10000.0,0.7479,0.4479,1,0.2834
SGR_ZONE_090,0.1965,0.3013,0.375,10000.0,0.9039,0.2708,1,0.2401
SGR_ZONE_091,0.2608,0.3237,0.375,10000.0,0.7893,0.1042,1,0.2314
SGR_ZONE_092,0.1722,0.4119,0.375,10000.0,0.6555,0.0,1,0.2528
SGR_ZONE_093,0.235,0.4375,0.375,10000.0,0.6182,0.0104,1,0.2633
SGR_ZONE_094,0.2403,0.4319,0.375,10000.0,0.533,0.1667,1,0.2889
SGR_ZONE_095,0.0072,0.4106,0.375,10000.0,0.5924,0.3229,1,0.327
SGR_ZONE_096,0.1729,0.3237,0.3125,10000.0,0.6392,0.4479,1,0.3193
SGR_ZONE_097,0.3063,0.3181,0.3125,10000.0,0.47,0.4062,1,0.3149
SGR_ZONE_098,0.3957,0.3281,0.375,10000.0,0.2395,0.2708,1,0.3268
SGR_ZONE_099,0.3003,0.3225,0.375,10000.0,0.03,0.2083,1,0.3477
SGR_ZONE_100,0.1991,0.3481,0.3125,10000.0,0.1297,0.3125,1,0.3546
SGR_ZONE_101,0.7164,0.3081,0.125,10000.0,0.8235,0.2396,1,0.1944
SGR_ZONE_102,0.9387,0.1931,0.0625,10000.0,0.6729,0.2396,1,0.1763
SGR_ZONE_103,0.9784,0.0938,0.0625,10000.0,0.2347,0.3125,1,0.2201
SGR_ZONE_104,1.0,0.01,0.0,10000.0,0.3193,0.4479,1,0.2094
SGR_ZONE_105,1.0,0.02,0.0,10000.0,0.9292,0.5104,1,0.1317
SGR_ZONE_106,0.7554,0.0425,0.0,10000.0,0.97,0.4896,1,0.1444
SGR_ZONE_107,0.7517,0.1931,0.0625,10000.0,0.6975,0.4479,1,0.214
SGR_ZONE_108,0.5249,0.2812,0.125,10000.0,0.4628,0.4062,1,0.2878
SGR_ZONE_109,0.3139,0.4475,0.1875,10000.0,0.2809,0.3021,1,0.3448
SGR_ZONE_110,0.4084,0.5513,0.1875,10000.0,0.605,0.1771,1,0.2932
SGR_ZONE_111,0.5301,0.5894,0.25,10000.0,0.7191,0.1042,1,0.2751
SGR_ZONE_112,0.7042,0.6306,0.25,10000.0,0.7095,0.1146,1,0.26
SGR_ZONE_113,0.2826,0.6875,0.3125,10000.0,0.8025,0.3021,1,0.3182
SGR_ZONE_114,0.3185,0.7288,0.375,10000.0,0.9082,0.375,1,0.3224
SGR_ZONE_115,0.2649,0.8169,0.4375,10000.0,0.9322,0.4688,1,0.3469
SGR_ZONE_116,0.392,0.8394,0.4375,10000.0,0.9748,0.4479,1,0.3436
SGR_ZONE_117,0.336,0.9119,0.5,10000.0,0.9039,0.4271,1,0.3757
SGR_ZONE_118,0.2854,0.9688,0.5,10000.0,0.7557,0.3958,1,0.4007
SGR_ZONE_119,0.373,1.0,0.5625,10000.0,0.6471,0.5,1,0.4366
SGR_ZONE_120,0.2503,1.0,0.5625,10000.0,0.6645,0.5833,1,0.4513
SGR_ZONE_121,0.2057,0.9644,0.5625,10000.0,0.6465,0.7396,1,0.4718
SGR_ZONE_122,0.2511,0.9587,0.625,10000.0,0.7773,0.7917,1,0.4588
SGR_ZONE_123,0.2606,0.9219,0.6875,10000.0,0.8031,0.7917,1,0.4511
SGR_ZONE_124,0.3991,0.8694,0.8125,10000.0,0.6381,0.6875,1,0.4269
SGR_ZONE_125,0.125,0.77,0.9375,10000.0,0.3908,0.5417,1,0.4541
SGR_ZONE_126,0.3697,0.6675,1.0,10000.0,0.2821,0.4583,1,0.4275
SGR_ZONE_127,0.4594,0.6306,1.0,10000.0,0.2431,0.4688,1,0.3955
SGR_ZONE_128,0.4361,0.625,1.0,10000.0,0.3109,0.5208,1,0.3989
SGR_ZONE_129,0.0,0.6194,0.75,10000.0,0.3955,0.6875,1,0.4602
SGR_ZONE_130,0.1391,0.6138,0.5625,10000.0,0.3818,0.8437,1,0.4596
SGR_ZONE_131,0.2962,0.5425,0.375,10000.0,0.4076,0.9687,1,0.4591
SGR_ZONE_132,0.2396,0.5212,0.25,10000.0,0.3997,1.0,1,0.4708
SGR_ZONE_133,0.2575,0.5156,0.25,10000.0,0.365,0.9583,1,0.4579
SGR_ZONE_134,0.4735,0.4944,0.25,10000.0,0.4538,0.8542,1,0.3936
SGR_ZONE_135,0.4373,0.4888,0.3125,10000.0,0.5342,0.8021,1,0.3807
SGR_ZONE_136,0.1942,0.3862,0.3125,10000.0,0.47,0.7292,1,0.3842
SGR_ZONE_137,0.2445,0.3181,0.3125,10000.0,0.3487,0.6771,1,0.3804
SGR_ZONE_138,0.0984,0.25,0.375,10000.0,0.5258,0.5937,1,0.3469
SGR_ZONE_139,0.125,0.2444,0.375,10000.0,0.7179,0.4479,1,0.2834
SGR_ZONE_140,0.2165,0.3013,0.375,10000.0,0.8739,0.2708,1,0.2401
SGR_ZONE_141,0.1408,0.3237,0.375,10000.0,0.8493,0.1042,1,0.2314
SGR_ZONE_142,0.1922,0.4119,0.375,10000.0,0.6255,0.0,1,0.2528
SGR_ZONE_143,0.255,0.4375,0.375,10000.0,0.5882,0.0104,1,0.2633
SGR_ZONE_144,0.2603,0.4319,0.375,10000.0,0.593,0.1667,1,0.2889
SGR_ZONE_145,0.0272,0.4106,0.375,10000.0,0.5624,0.3229,1,0.327
SGR_ZONE_146,0.1929,0.3237,0.3125,10000.0,0.6092,0.4479,1,0.3193
SGR_ZONE_147,0.3263,0.3181,0.3125,10000.0,0.53,0.4062,1,0.3149
SGR_ZONE_148,0.2757,0.3281,0.375,10000.0,0.2095,0.2708,1,0.3268
SGR_ZONE_149,0.3203,0.3225,0.375,10000.0,0.0,0.2083,1,0.3477
SGR_ZONE_150,0.2191,0.3481,0.3125,10000.0,0.1897,0.3125,1,0.3546
