Zone_ID,Latitude,Longitude,Avg_Elevation,Min_Elevation,Max_Elevation,Avg_Slope,Max_Slope,Terrain_Risk,Temperature,Humidity,Pressure,Visibility,Wind_Speed,Clouds,Visibility_Risk,Weather_Risk,NDVI,Vegetation_Density,Land_Cover,Vegetation_Risk,Coverage_Pct,Blind_Spots,Max_Gap_Hours,Patrols_Conducted,Night_Shifts,Vehicles_Available,Drones_Deployed,Readiness_Score,Patrol_Risk,Historical_Event_Count,Successful_Detection_Count,Detection_Rate,Average_Response_Time,Night_Event_Count,Historical_Risk,Human_Detection_Count,Vehicle_Detection_Count,Avg_Camera_Confidence,Night_Movement_Count,Camera_Activity_Score,Motion_Score,Infrared_Score,Acoustic_Score,Seismic_Score,Sensor_Activity_Score,Environmental_Risk_Score,Operational_Risk_Score,Historical_Risk_Score,Risk_Score,Risk_Level
SGR_ZONE_014,33.98108,74.76219,1642.37,1603.0,1670.0,2.07,12.65,0.0438,0.4185,0.7288,0.375,10000.0,0.8782,0.375,1,0.3224,0.5485,0.6221,Grassland,0.5733,96.86,0.08,4.07,25.17,9.67,1.92,0.0,86.74,0.0942,29,22,0.7586,35.23,29,0.365,7,7,0.855,5,0.7167,0.7006,0.0,0.1299,0.2591,0.3101,0.2988,0.2619,0.365,42.58,Medium
SGR_ZONE_015,33.98108,74.79167,1639.17,1599.0,1671.0,2.65,14.08,0.0512,0.2249,0.8169,0.4375,10000.0,0.9922,0.4688,1,0.3469,0.6029,0.6486,Dense Brush,0.7291,90.74,0.42,4.12,19.5,7.5,1.33,0.0,71.3,0.1465,26,23,0.8846,28.61,26,0.282,6,3,0.8129,5,0.5333,0.1895,0.4947,0.473,0.9054,0.4451,0.3624,0.2836,0.282,44.83,Medium
SGR_ZONE_016,33.98108,74.82116,1601.61,1592.0,1612.0,1.22,3.35,0.0279,0.352,0.8394,0.4375,10000.0,0.9448,0.4479,1,0.3436,0.6122,0.7661,Dense Brush,0.7996,82.85,1.08,6.84,18.25,7.08,1.67,0.0,68.88,0.2234,36,28,0.7778,33.0,36,0.3903,4,5,0.8155,2,0.42,0.2284,0.3136,0.3754,0.1952,0.2784,0.3769,0.2737,0.3903,60.35,High
SGR_ZONE_017,33.98108,74.85065,1597.48,1586.0,1609.0,1.17,3.54,0.0267,0.296,0.9119,0.5,10000.0,0.8739,0.4271,1,0.3757,0.6678,0.6817,Dense Brush,0.749,78.77,1.58,2.73,21.25,8.33,1.92,0.0,72.5,0.1768,34,27,0.7941,34.15,34,0.3771,5,5,0.8569,5,0.55,0.32,0.3058,0.3078,0.1834,0.2928,0.3668,0.2746,0.3771,57.07,High
SGR_ZONE_018,33.98108,74.88014,1590.42,1582.0,1600.0,1.22,4.53,0.0266,0.2454,0.9688,0.5,10000.0,0.8157,0.3958,1,0.4007,0.7423,0.7554,Forest,0.7933,89.42,0.58,3.82,31.33,11.92,1.75,0.0,86.98,0.1176,48,34,0.7083,32.18,48,0.4793,6,1,0.8539,2,0.3867,0.3589,0.4491,0.1945,0.6502,0.3968,0.3885,0.2273,0.4793,66.93,High
SGR_ZONE_019,33.98108,74.90963,1589.15,1584.0,1618.0,1.6,7.43,0.0315,0.333,1.0,0.5625,10000.0,0.6171,0.5,1,0.4366,0.6997,0.6717,Dense Brush,0.743,88.5,0.67,5.98,20.08,7.92,1.67,0.0,74.48,0.1778,18,14,0.7778,32.36,18,0.2869,5,3,0.8338,6,0.51,0.1881,0.3901,0.0,0.0,0.1829,0.3818,0.2453,0.2869,42.49,Medium
SGR_ZONE_020,33.98108,74.93912,1615.57,1581.0,1638.0,1.9,6.08,0.0385,0.3503,1.0,0.5625,10000.0,0.6345,0.5833,1,0.4513,0.5823,0.6503,Dense Brush,0.7302,100.0,0.0,10.54,11.58,5.0,1.83,0.0,73.33,0.2071,25,21,0.84,28.29,25,0.2909,4,5,0.8796,6,0.5267,0.0777,0.6183,0.0679,0.0855,0.2391,0.3838,0.2774,0.2909,48.47,Medium
SGR_ZONE_021,33.98108,74.9686,1627.71,1602.0,1680.0,1.71,12.09,0.0373,0.3057,0.9644,0.5625,10000.0,0.7065,0.7396,1,0.4718,0.7521,0.8358,Forest,0.8415,79.62,1.67,3.15,19.5,7.67,2.17,0.0,73.17,0.182,50,37,0.74,34.16,50,0.4861,3,2,0.8369,3,0.2967,0.2493,0.7171,0.4635,0.2073,0.4262,0.4274,0.2538,0.4861,78.27,Critical
SGR_ZONE_022,34.00661,74.62949,1817.68,1761.0,1883.0,2.19,6.36,0.0655,0.2111,0.9587,0.625,10000.0,0.7473,0.7917,1,0.4588,0.6871,0.7408,Dense Brush,0.7845,88.87,0.75,4.94,23.83,9.33,1.92,0.0,81.22,0.1506,40,28,0.7,36.86,40,0.4529,4,2,0.8999,3,0.3467,0.0,0.2,0.4636,0.165,0.1775,0.4155,0.1952,0.4529,62.53,High
SGR_ZONE_023,34.00661,74.65898,1782.13,1706.0,1836.0,2.56,13.29,0.0664,0.2206,0.9219,0.6875,10000.0,0.7731,0.7917,1,0.4511,0.5804,0.6024,Dense Brush,0.7014,78.73,1.67,4.69,29.5,11.25,2.0,0.0,81.91,0.1888,7,5,0.7143,38.8,7,0.2687,2,3,0.768,2,0.2533,0.4736,0.225,0.4326,0.2238,0.3533,0.3848,0.2346,0.2687,38.79,Medium
SGR_ZONE_024,34.00661,74.68847,1742.87,1664.0,1794.0,3.92,17.46,0.08,0.3591,0.8694,0.8125,10000.0,0.6981,0.6875,1,0.4269,0.663,0.7821,Dense Brush,0.8093,89.4,0.67,4.28,23.58,9.25,1.75,0.0,79.68,0.141,52,36,0.6923,33.03,52,0.5103,1,2,0.9217,3,0.1967,0.4584,0.227,0.097,0.382,0.3052,0.422,0.185,0.5103,69.76,High
SGR_ZONE_025,34.00661,74.71795,1671.53,1595.0,1745.0,3.74,14.14,0.0695,0.085,0.77,0.9375,10000.0,0.3608,0.5417,1,0.4541,0.7274,0.712,Forest,0.7672,93.58,0.33,6.5,14.17,6.25,1.92,0.0,74.67,0.1666,59,45,0.7627,33.04,59,0.5251,3,2,0.8175,0,0.2167,0.0517,0.2401,0.4695,0.1115,0.2007,0.4098,0.1834,0.5251,69.61,High
SGR_ZONE_026,34.00661,74.74744,1631.56,1594.0,1671.0,2.4,9.06,0.047,0.3297,0.6675,1.0,10000.0,0.2521,0.4583,1,0.4275,0.7248,0.778,Forest,0.8068,91.8,0.42,5.16,23.42,9.33,1.83,0.0,82.22,0.1376,18,12,0.6667,27.42,18,0.3093,3,2,0.8555,4,0.3233,0.2463,0.5121,0.0758,0.2842,0.2976,0.4081,0.2067,0.3093,43.59,Medium
SGR_ZONE_027,34.00661,74.77693,1615.23,1579.0,1651.0,1.71,6.52,0.0359,0.5594,0.6306,1.0,10000.0,0.3031,0.4688,1,0.3955,0.6426,0.7374,Dense Brush,0.7824,99.97,0.0,7.5,13.33,5.75,2.25,0.0,79.74,0.15,29,19,0.6552,35.95,29,0.4036,5,1,0.8814,3,0.3633,0.0,0.1144,0.6709,0.2066,0.1995,0.3871,0.2026,0.4036,52.45,High
SGR_ZONE_028,34.00661,74.80642,1599.77,1585.0,1633.0,1.56,9.86,0.0321,0.5361,0.625,1.0,10000.0,0.2809,0.5208,1,0.3989,0.7759,0.9001,Forest,0.8801,87.17,0.75,2.06,26.0,10.08,2.25,0.0,86.12,0.1022,48,36,0.75,34.78,48,0.4734,3,2,0.8515,4,0.3233,0.1229,0.2409,0.0,0.1388,0.1361,0.4206,0.1532,0.4734,59.45,High
SGR_ZONE_029,34.00661,74.83591,1590.63,1582.0,1602.0,1.32,3.54,0.028,0.0,0.6194,0.75,10000.0,0.3655,0.6875,1,0.4602,0.622,0.6687,Dense Brush,0.7412,81.93,1.33,10.03,12.5,5.33,1.67,0.0,62.76,0.2901,32,20,0.625,28.4,32,0.4059,4,1,0.8259,2,0.2867,0.3044,0.4092,0.3711,0.7097,0.41,0.3857,0.3134,0.4059,70.18,High
SGR_ZONE_030,34.00661,74.8654,1587.19,1581.0,1596.0,1.09,2.69,0.0245,0.0991,0.6138,0.5625,10000.0,0.4418,0.8437,1,0.4596,0.7103,0.8301,Forest,0.838,96.57,0.25,9.98,6.92,3.33,2.17,0.0,69.79,0.2191,48,32,0.6667,32.0,48,0.4933,8,1,0.8765,3,0.5133,0.3932,0.3162,0.0,0.0,0.2325,0.418,0.2806,0.4933,82.03,Critical
SGR_ZONE_031,34.00661,74.89488,1585.45,1581.0,1593.0,1.05,3.91,0.0238,0.2562,0.5425,0.375,10000.0,0.3776,0.9687,1,0.4591,0.639,0.6936,Dense Brush,0.7562,82.96,1.17,2.47,23.33,9.25,1.58,0.0,74.44,0.1503,19,13,0.6842,38.46,19,0.3456,3,2,0.8057,3,0.2967,0.5896,0.2904,0.3548,0.6081,0.4557,0.389,0.2407,0.3456,50.9,High
SGR_ZONE_032,34.00661,74.92437,1594.19,1578.0,1611.0,2.03,10.12,0.0378,0.1996,0.5212,0.25,10000.0,0.3697,1.0,1,0.4708,0.5814,0.5797,Dense Brush,0.6878,81.23,1.33,7.03,23.58,9.25,2.08,0.0,78.42,0.2166,41,33,0.8049,29.21,41,0.3963,1,3,0.865,3,0.23,0.8958,0.6294,0.1198,0.0,0.5263,0.3735,0.2812,0.3963,61.82,High
SGR_ZONE_033,34.00661,74.95386,1608.53,1581.0,1624.0,2.19,8.86,0.0416,0.2175,0.5156,0.25,10000.0,0.425,0.9583,1,0.4579,0.7265,0.8669,Forest,0.8602,94.27,0.25,5.49,23.33,9.17,1.75,0.0,82.22,0.1334,34,26,0.7647,27.77,34,0.3662,2,4,0.862,3,0.3133,0.0,0.0,0.5275,0.1678,0.1307,0.4322,0.1688,0.3662,49.16,Medium
SGR_ZONE_034,34.00661,74.98335,1618.11,1597.0,1635.0,1.53,6.8,0.034,0.5735,0.4944,0.25,10000.0,0.4238,0.8542,1,0.3936,0.6464,0.7612,Dense Brush,0.7967,94.71,0.25,3.19,26.25,10.08,2.08,0.0,87.96,0.0875,42,33,0.7857,34.3,42,0.4256,1,5,0.8296,4,0.3233,0.3184,0.367,0.3744,0.3952,0.3557,0.3908,0.1883,0.4256,53.78,High
SGR_ZONE_035,34.00661,75.01284,1673.48,1619.0,1872.0,2.94,17.87,0.059,0.5373,0.4888,0.3125,10000.0,0.5042,0.8021,1,0.3807,0.6708,0.7056,Dense Brush,0.7634,73.8,2.08,5.42,29.5,11.25,2.25,0.0,81.58,0.2203,24,18,0.75,25.22,24,0.3066,6,1,0.8565,1,0.36,0.4383,0.0,0.4428,0.5582,0.3257,0.386,0.2693,0.3066,49.67,Medium
SGR_ZONE_036,34.03215,74.61474,1740.18,1687.0,1798.0,2.21,8.14,0.057,0.1542,0.3862,0.3125,10000.0,0.53,0.7292,1,0.3842,0.6597,0.8026,Dense Brush,0.8215,93.09,0.25,6.85,23.92,9.42,2.33,0.0,88.32,0.1433,44,34,0.7727,31.35,44,0.4316,6,2,0.845,3,0.4467,0.3077,0.3858,0.5706,0.4133,0.3995,0.4064,0.2552,0.4316,67.72,High
SGR_ZONE_037,34.03215,74.64423,1715.35,1638.0,1794.0,3.3,9.71,0.0686,0.2045,0.3181,0.3125,10000.0,0.3187,0.6771,1,0.3804,0.616,0.7558,Dense Brush,0.7935,93.34,0.42,11.93,13.33,5.67,1.92,0.0,72.67,0.2524,38,33,0.8684,31.85,38,0.366,3,3,0.7745,3,0.33,0.7796,0.2202,0.3892,0.5261,0.4957,0.4003,0.3166,0.366,67.57,High
SGR_ZONE_038,34.03215,74.67372,1693.62,1614.0,1762.0,2.83,9.85,0.0598,0.0584,0.25,0.375,10000.0,0.4958,0.5937,1,0.3469,0.3966,0.4774,Grassland,0.4864,92.08,0.33,4.93,34.0,12.92,2.42,0.0,95.58,0.105,34,29,0.8529,34.21,34,0.3567,4,1,0.7903,3,0.3133,0.3528,0.3538,0.2808,0.522,0.3641,0.2809,0.1985,0.3567,28.51,Medium
SGR_ZONE_039,34.03215,74.70321,1630.49,1591.0,1704.0,2.47,9.92,0.0478,0.085,0.2444,0.375,10000.0,0.7779,0.4479,1,0.2834,0.5998,0.6449,Dense Brush,0.7269,86.57,0.92,12.58,13.33,5.67,2.0,0.0,69.8,0.2937,41,26,0.6341,37.54,41,0.4838,4,3,0.8052,6,0.46,0.0,0.5059,0.4308,0.0,0.2379,0.3444,0.3158,0.4838,74.62,Critical
SGR_ZONE_040,34.03215,74.7327,1597.11,1584.0,1657.0,1.57,7.43,0.0321,0.1765,0.3013,0.375,10000.0,0.8439,0.2708,1,0.2401,0.5862,0.5455,Dense Brush,0.6673,84.6,1.17,1.89,35.5,13.42,1.83,0.0,88.61,0.1103,48,38,0.7917,28.47,48,0.4378,0,4,0.8734,2,0.1867,0.4055,0.0,0.4406,0.0,0.23,0.3064,0.1495,0.4378,35.84,Medium
SGR_ZONE_041,34.03215,74.76219,1590.12,1578.0,1633.0,1.7,10.11,0.0329,0.2408,0.3237,0.375,10000.0,0.8193,0.1042,1,0.2314,0.5467,0.6193,Grassland,0.5716,80.46,1.42,1.97,33.08,12.75,2.33,0.0,90.8,0.1217,18,13,0.7222,35.69,18,0.3174,3,1,0.8436,4,0.29,0.0,0.0,0.499,0.0,0.0998,0.2711,0.151,0.3174,14.03,Low
SGR_ZONE_042,34.03215,74.79167,1587.3,1580.0,1594.0,1.25,3.81,0.0267,0.2922,0.4119,0.375,10000.0,0.6855,0.0,1,0.2528,0.6675,0.7083,Dense Brush,0.765,99.48,0.0,3.99,13.42,5.83,1.58,0.0,73.12,0.113,31,25,0.8065,37.44,31,0.3669,4,1,0.8072,5,0.3667,0.1369,0.339,0.3663,0.39,0.2814,0.3416,0.1974,0.3669,39.4,Medium
SGR_ZONE_043,34.03215,74.82116,1587.39,1577.0,1596.0,1.21,3.16,0.0262,0.215,0.4375,0.375,10000.0,0.5582,0.0104,1,0.2633,0.4691,0.4909,Grassland,0.4945,87.02,0.92,5.67,17.0,7.08,1.83,0.0,72.55,0.1864,49,36,0.7347,33.19,49,0.4791,2,3,0.8647,2,0.2533,0.0337,0.2949,0.3281,0.0,0.1659,0.2494,0.1957,0.4791,39.74,Medium
SGR_ZONE_044,34.03215,74.85065,1584.03,1577.0,1591.0,1.2,4.61,0.0256,0.2203,0.4319,0.375,10000.0,0.563,0.1667,1,0.2889,0.5911,0.6666,Dense Brush,0.74,99.62,0.0,8.42,12.33,5.42,1.75,0.0,73.59,0.1763,30,21,0.7,33.05,30,0.3839,0,0,0.7816,0,0.0,0.7987,0.0,0.3479,0.0,0.3491,0.3415,0.1756,0.3839,38.22,Medium
SGR_ZONE_045,34.03215,74.88014,1598.51,1580.0,1916.0,2.57,23.72,0.0455,0.0,0.4106,0.375,10000.0,0.6224,0.3229,1,0.327,0.4593,0.5309,Grassland,0.5185,85.49,0.92,6.07,25.25,9.5,2.0,0.0,80.87,0.1787,8,7,0.875,27.57,8,0.1807,1,3,0.799,4,0.2567,0.4551,0.415,0.3421,0.2983,0.3969,0.2814,0.2379,0.1807,10.87,Low
SGR_ZONE_046,34.03215,74.90963,1600.25,1581.0,1736.0,2.14,16.53,0.04,0.1529,0.3237,0.3125,10000.0,0.5792,0.4479,1,0.3193,0.493,0.5908,Grassland,0.5545,93.9,0.5,12.85,10.25,4.5,1.75,0.0,67.58,0.2769,49,34,0.6939,29.26,49,0.4803,1,1,0.8245,3,0.1633,0.3399,0.4456,0.9504,0.0,0.4427,0.2899,0.2873,0.4803,60.94,High
SGR_ZONE_047,34.03215,74.93912,1598.38,1583.0,1617.0,1.78,8.86,0.0349,0.2863,0.3181,0.3125,10000.0,0.5,0.4062,1,0.3149,0.4125,0.4374,Grassland,0.4625,88.15,0.75,2.98,23.58,9.25,2.25,0.0,84.0,0.118,48,38,0.7917,30.16,48,0.4434,5,4,0.8776,4,0.49,0.1625,0.0847,0.4971,0.8129,0.3036,0.2546,0.2295,0.4434,41.08,Medium
SGR_ZONE_048,34.03215,74.9686,1659.1,1589.0,1982.0,4.77,24.13,0.0818,0.3757,0.3281,0.375,10000.0,0.2695,0.2708,1,0.3268,0.4207,0.3896,Grassland,0.4338,83.61,1.25,4.58,24.58,9.33,1.83,0.0,77.28,0.1763,32,27,0.8438,28.15,32,0.3285,3,3,0.8054,1,0.2767,0.537,0.1201,0.5644,0.3716,0.3926,0.2662,0.2396,0.3285,28.88,Medium
SGR_ZONE_049,34.03215,74.99809,1801.88,1616.0,2343.0,8.33,35.13,0.1455,0.4203,0.3225,0.375,10000.0,0.0,0.2083,1,0.3477,0.4591,0.5181,Grassland,0.5108,78.19,1.58,2.98,31.25,11.92,2.0,0.0,83.87,0.1589,20,14,0.7,34.64,20,0.333,3,4,0.838,3,0.3633,0.3659,0.419,0.8731,0.5224,0.5067,0.3239,0.2693,0.333,43.4,Medium
SGR_ZONE_050,34.03215,75.02758,1794.3,1673.0,2035.0,4.98,18.38,0.1001,0.1791,0.3481,0.3125,10000.0,0.1597,0.3125,1,0.3546,0.4192,0.4494,Grassland,0.4696,86.08,0.92,7.4,18.25,7.33,1.83,0.0,72.92,0.2128,38,28,0.7368,35.43,38,0.424,3,2,0.8744,4,0.3233,0.5291,0.0,0.2674,0.1228,0.2571,0.2931,0.2438,0.424,46.83,Medium
SGR_ZONE_051,34.05769,74.62949,1667.8,1592.0,1723.0,5.49,15.04,0.0923,0.6964,0.3081,0.125,10000.0,0.8535,0.2396,1,0.1944,0.2891,0.297,Alpine Scrub,0.3782,96.47,0.08,8.72,19.42,7.33,1.92,0.0,79.58,0.1771,53,37,0.6981,29.68,53,0.5027,3,1,0.8498,1,0.21,0.3067,0.5151,0.3884,0.3116,0.3863,0.2179,0.2255,0.5027,42.7,Medium
SGR_ZONE_052,34.05769,74.65898,1622.8,1586.0,1703.0,2.82,11.8,0.0516,0.9187,0.1931,0.0625,10000.0,0.6129,0.2396,1,0.1763,0.3587,0.3545,Grassland,0.4127,86.97,0.75,6.09,15.58,6.5,2.25,0.0,75.28,0.1831,46,28,0.6087,34.36,46,0.5102,4,1,0.8704,0,0.2333,0.431,0.6115,0.2281,0.5232,0.4584,0.2092,0.2482,0.5102,45.94,Medium
SGR_ZONE_053,34.05769,74.68847,1592.21,1582.0,1632.0,1.34,6.4,0.0283,0.9584,0.0938,0.0625,10000.0,0.2647,0.3125,1,0.2201,0.3573,0.4132,Grassland,0.4479,79.21,1.42,6.31,23.42,9.17,2.17,0.0,78.02,0.213,47,37,0.7872,32.32,47,0.4466,3,2,0.8935,4,0.3233,0.0,0.29,0.1417,0.2515,0.1531,0.2231,0.2231,0.4466,35.49,Medium
SGR_ZONE_054,34.05769,74.71795,1589.94,1581.0,1605.0,1.31,5.52,0.0277,1.0,0.01,0.0,10000.0,0.3493,0.4479,1,0.2094,0.5054,0.5647,Grassland,0.5388,75.66,2.0,1.75,32.58,12.5,1.75,0.0,81.27,0.1617,43,29,0.6744,30.59,43,0.4578,8,3,0.8185,8,0.7133,0.4696,0.0,0.6186,0.2436,0.3246,0.252,0.3046,0.4578,54.59,High
SGR_ZONE_055,34.05769,74.74744,1584.44,1578.0,1591.0,1.23,4.12,0.026,1.0,0.02,0.0,10000.0,0.8692,0.5104,1,0.1317,0.36,0.3922,Grassland,0.4353,100.0,0.0,7.97,15.58,6.58,1.58,0.0,75.58,0.165,21,18,0.8571,26.28,21,0.2557,4,1,0.9193,4,0.34,0.311,0.347,0.3238,0.0,0.2777,0.1957,0.2225,0.2557,5.0,Low
SGR_ZONE_056,34.05769,74.77693,1584.26,1578.0,1598.0,1.57,6.52,0.0306,0.8754,0.0425,0.0,10000.0,1.0,0.4896,1,0.1444,0.1712,0.187,Alpine Scrub,0.3122,83.57,1.08,1.77,31.33,12.0,2.0,0.0,86.69,0.1123,31,23,0.7419,33.61,31,0.3767,3,2,0.8069,5,0.35,0.6938,0.0528,0.3156,0.2036,0.3523,0.1576,0.2078,0.3767,13.11,Low
SGR_ZONE_057,34.05769,74.80642,1587.04,1581.0,1598.0,1.4,4.74,0.0286,0.7317,0.1931,0.0625,10000.0,0.7275,0.4479,1,0.214,0.3154,0.4701,Alpine Scrub,0.482,81.17,1.42,10.46,13.58,5.67,2.0,0.0,66.62,0.2923,25,18,0.72,28.28,25,0.3329,3,1,0.8247,5,0.3167,0.0518,0.3467,0.0,0.2125,0.154,0.2336,0.2695,0.3329,29.05,Medium
SGR_ZONE_058,34.05769,74.83591,1585.92,1577.0,1603.0,1.63,9.5,0.0315,0.5049,0.2812,0.125,10000.0,0.4028,0.4062,1,0.2878,0.2816,0.3249,Alpine Scrub,0.3949,99.91,0.0,20.01,8.58,3.75,2.17,0.0,72.88,0.3462,42,35,0.8333,35.06,42,0.4114,8,0,0.8159,6,0.56,0.3889,0.1653,0.2223,0.3626,0.2846,0.2228,0.3766,0.4114,55.07,High
