Zone_ID,Latitude,Longitude,Sector,Boundary_Clip
SGR_ZONE_117,34.534722,75.301389,Srinagar,True
SGR_ZONE_118,34.534722,75.501389,Srinagar,True
SGR_ZONE_119,34.534722,75.701389,Srinagar,True
SGR_ZONE_120,34.534722,75.901389,Srinagar,True
SGR_ZONE_121,34.668056,74.1,Srinagar,True
SGR_ZONE_122,34.668056,74.301389,Srinagar,True
SGR_ZONE_123,34.668056,74.501389,Srinagar,True
SGR_ZONE_124,34.668056,74.701389,Srinagar,True
SGR_ZONE_125,34.668056,74.901389,Srinagar,True
SGR_ZONE_126,34.668056,75.101389,Srinagar,True
SGR_ZONE_127,34.668056,75.301389,Srinagar,True
SGR_ZONE_128,34.668056,75.501389,Srinagar,True
SGR_ZONE_129,34.668056,75.701389,Srinagar,True
SGR_ZONE_130,34.668056,75.901389,Srinagar,True
SGR_ZONE_131,34.801389,74.1,Srinagar,True
SGR_ZONE_132,34.801389,74.301389,Srinagar,True
SGR_ZONE_133,34.801389,74.501389,Srinagar,True
SGR_ZONE_134,34.801389,74.701389,Srinagar,True
SGR_ZONE_135,34.801389,74.901389,Srinagar,True
SGR_ZONE_136,34.801389,75.101389,Srinagar,True
SGR_ZONE_137,34.801389,75.301389,Srinagar,True
SGR_ZONE_138,34.801389,75.501389,Srinagar,True
SGR_ZONE_139,34.801389,75.701389,Srinagar,True
SGR_ZONE_140,34.801389,75.901389,Srinagar,True
SGR_ZONE_141,34.934722,74.1,Srinagar,True
SGR_ZONE_142,34.934722,74.301389,Srinagar,True
SGR_ZONE_143,34.934722,74.501389,Srinagar,True
SGR_ZONE_144,34.934722,74.701389,Srinagar,True
SGR_ZONE_145,34.934722,74.901389,Srinagar,True
SGR_ZONE_146,34.934722,75.101389,Srinagar,True
SGR_ZONE_147,34.934722,75.301389,Srinagar,True
SGR_ZONE_148,34.934722,75.501389,Srinagar,True
SGR_ZONE_149,34.934722,75.701389,Srinagar,True
SGR_ZONE_150,34.934722,75.901389,Srinagar,True
