zone_id,temperature,humidity,pressure,visibility,wind_speed,clouds,visibility_risk,vis_score,humidity_score,wind_score,cloud_score,temp_score,weather_risk_score
Z22,0.2710951526032316,0.96875,0.625,10000,0.7773109243697479,0.7916666666666666,1,0.1,0.96875,0.2226890756302521,0.7916666666666666,0.7289048473967684,0.4587938460842147
Z23,0.260622381807301,0.921875,0.6875,10000,0.7731092436974789,0.7916666666666666,1,0.1,0.921875,0.2268907563025211,0.7916666666666666,0.739377618192699,0.4510963752646481
Z24,0.379114302812687,0.859375,0.8125,10000,0.6680672268907563,0.6874999999999999,1,0.1,0.859375,0.33193277310924374,0.6874999999999999,0.620885697187313,0.4268784856851179
Z25,0.08497905445840809,0.75,0.9375,10000,0.39075630252100835,0.5416666666666666,1,0.1,0.75,0.6092436974789917,0.5416666666666666,0.9150209455415919,0.454138649176008
Z26,0.3096947935368043,0.6875,1.0,10000,0.25210084033613445,0.4583333333333333,1,0.1,0.6875,0.7478991596638656,0.4583333333333333,0.6903052064631957,0.42746539459589944
Z27,0.5194494314781568,0.640625,1.0,10000,0.27310924369747897,0.46875,1,0.1,0.640625,0.7268907563025211,0.46875,0.4805505685218432,0.3955261702975625
Z28,0.47606223818073007,0.625,1.0,10000,0.31092436974789917,0.5208333333333333,1,0.1,0.625,0.6890756302521008,0.5208333333333333,0.52393776181927,0.3988801207197421
Z29,0.0,0.609375,0.75,10000,0.36554621848739494,0.6874999999999999,1,0.1,0.609375,0.634453781512605,0.6874999999999999,1.0,0.46016806722689074
Z30,0.13913824057450624,0.59375,0.5625,10000,0.4117647058823529,0.8437499999999999,1,0.1,0.59375,0.5882352941176471,0.8437499999999999,0.8608617594254937,0.4596339700601964
Z31,0.2761819269898264,0.5625,0.375,10000,0.40756302521008403,0.9687499999999999,1,0.1,0.5625,0.592436974789916,0.9687499999999999,0.7238180730101735,0.4590598535195048
Z32,0.19958108916816275,0.53125,0.25,10000,0.36974789915966383,0.9999999999999999,1,0.1,0.53125,0.6302521008403361,0.9999999999999999,0.8004189108318372,0.47082970620923414
Z33,0.19748653500897662,0.515625,0.25,10000,0.39495798319327735,0.9583333333333333,1,0.1,0.515625,0.6050420168067226,0.9583333333333333,0.8025134649910234,0.4578826490201108
Z34,0.5335128665469778,0.484375,0.25,10000,0.45378151260504207,0.8541666666666666,1,0.1,0.484375,0.5462184873949579,0.8541666666666666,0.4664871334530222,0.39358148645454594
Z35,0.4772591262716936,0.46875,0.3125,10000,0.5042016806722689,0.8020833333333333,1,0.1,0.46875,0.4957983193277311,0.8020833333333333,0.5227408737283064,0.38070633527199027
Z36,0.21424296828246558,0.40625,0.3125,10000,0.5,0.7291666666666666,1,0.1,0.40625,0.5,0.7291666666666666,0.7857570317175344,0.3842007031717534
Z37,0.2444643925792938,0.328125,0.3125,10000,0.34873949579831937,0.6770833333333333,1,0.1,0.328125,0.6512605042016806,0.6770833333333333,0.7555356074207062,0.38043013637232276
Z38,0.07839616995810889,0.25,0.375,10000,0.4957983193277311,0.5937499999999999,1,0.1,0.25,0.5042016806722689,0.5937499999999999,0.9216038300418912,0.3468531351050294
Z39,0.08497905445840809,0.234375,0.375,10000,0.7478991596638654,0.4479166666666667,1,0.1,0.234375,0.25210084033613456,0.4479166666666667,0.9150209455415919,0.2833797206045794
Z40,0.15649311789347692,0.28125,0.375,10000,0.8739495798319328,0.2708333333333333,1,0.1,0.28125,0.12605042016806722,0.2708333333333333,0.843506882106523,0.2401332512358624
Z41,0.20077797725912627,0.34375,0.375,10000,0.8193277310924371,0.10416666666666667,1,0.1,0.34375,0.18067226890756294,0.10416666666666667,0.7992220227408737,0.23139804261022184
Z42,0.23219628964691796,0.421875,0.375,10000,0.6554621848739496,0.0,1,0.1,0.421875,0.3445378151260504,0.0,0.767803710353082,0.2528360433042158
Z43,0.2749850388988629,0.4375,0.375,10000,0.5882352941176471,0.010416666666666668,1,0.1,0.4375,0.4117647058823529,0.010416666666666668,0.7250149611011372,0.26332870199246666
Z44,0.2603231597845601,0.421875,0.375,10000,0.5630252100840336,0.16666666666666666,1,0.1,0.421875,0.4369747899159664,0.16666666666666666,0.7396768402154399,0.28888890250893895
Z45,0.007181328545780907,0.390625,0.375,10000,0.592436974789916,0.3229166666666667,1,0.1,0.390625,0.40756302521008403,0.3229166666666667,0.9928186714542191,0.32697882092693453
Z46,0.1529024536205864,0.34375,0.3125,10000,0.6092436974789915,0.4479166666666667,1,0.1,0.34375,0.39075630252100846,0.4479166666666667,0.8470975463794136,0.31926070001609264
Z47,0.2663076002393776,0.328125,0.3125,10000,0.5,0.40625,1,0.1,0.328125,0.5,0.40625,0.7336923997606224,0.3149317399760623
Z48,0.3357271095152603,0.328125,0.375,10000,0.2394957983193277,0.2708333333333333,1,0.1,0.328125,0.7605042016806722,0.2708333333333333,0.6642728904847397,0.3267529193005748
Z49,0.36026331538001194,0.3125,0.375,10000,0.0,0.20833333333333331,1,0.1,0.3125,1.0,0.20833333333333331,0.6397366846199881,0.3477236684619988
Z50,0.23907839616995807,0.328125,0.3125,10000,0.15966386554621848,0.3125,1,0.1,0.328125,0.8403361344537815,0.3125,0.7609216038300419,0.35464258055107145
