Event_ID,Zone_ID,Date,Month,Season,Hour,Detection_Status,Outcome,Method,Response_Time_Min,Weather_Condition
EVT_001_00032,SGR_ZONE_001,2024-06-24,6,Monsoon,23,1,Alert Triggered,Unknown,37.0,Cloudy
EVT_001_00033,SGR_ZONE_001,2024-06-24,6,Monsoon,22,0,Undetected,Unknown,,Cloudy
EVT_001_00034,SGR_ZONE_001,2024-06-24,6,Monsoon,22,1,Retreated,Foot Patrol,50.0,Cloudy
EVT_001_00035,SGR_ZONE_001,2024-06-24,6,Monsoon,1,1,Neutralized,Drone (Suspicious),37.0,Cloudy
EVT_001_00036,SGR_ZONE_001,2024-07-24,7,Monsoon,0,1,Retreated,Foot Patrol,52.0,Clear
EVT_002_00037,SGR_ZONE_002,2023-01-01,1,Winter,4,1,Alert Triggered,Vehicle,38.0,Clear
EVT_002_00038,SGR_ZONE_002,2023-01-01,1,Winter,1,0,Undetected,Unknown,,Clear
EVT_002_00039,SGR_ZONE_002,2023-01-31,1,Winter,22,1,Retreated,Foot Patrol,10.0,Clear
EVT_002_00040,SGR_ZONE_002,2023-01-31,1,Winter,22,1,Retreated,Unknown,39.0,Snow
EVT_002_00041,SGR_ZONE_002,2023-01-31,1,Winter,22,0,Undetected,Foot Patrol,,Clear
EVT_002_00042,SGR_ZONE_002,2023-03-02,3,Spring,0,1,Alert Triggered,Foot Patrol,54.0,Cloudy
EVT_002_00043,SGR_ZONE_002,2023-03-02,3,Spring,4,0,Undetected,Vehicle,,Fog
EVT_002_00044,SGR_ZONE_002,2023-04-01,4,Spring,23,1,Alert Triggered,Unknown,17.0,Clear
EVT_002_00045,SGR_ZONE_002,2023-04-01,4,Spring,22,1,Neutralized,Foot Patrol,50.0,Fog
EVT_002_00046,SGR_ZONE_002,2023-04-01,4,Spring,2,0,Undetected,Foot Patrol,,Clear
EVT_002_00047,SGR_ZONE_002,2023-04-01,4,Spring,0,0,Undetected,Foot Patrol,,Cloudy
EVT_002_00048,SGR_ZONE_002,2023-05-01,5,Spring,22,0,Undetected,Unknown,,Clear
EVT_002_00049,SGR_ZONE_002,2023-05-01,5,Spring,22,1,Retreated,Foot Patrol,9.0,Cloudy
EVT_002_00050,SGR_ZONE_002,2023-05-31,5,Spring,0,1,Neutralized,Foot Patrol,54.0,Cloudy
EVT_002_00051,SGR_ZONE_002,2023-05-31,5,Spring,23,1,Neutralized,Foot Patrol,59.0,Clear
EVT_002_00052,SGR_ZONE_002,2023-06-30,6,Monsoon,22,1,Retreated,Foot Patrol,5.0,Cloudy
EVT_002_00053,SGR_ZONE_002,2023-08-29,8,Monsoon,23,1,Retreated,Vehicle,9.0,Cloudy
EVT_002_00054,SGR_ZONE_002,2023-08-29,8,Monsoon,0,1,Retreated,Drone (Suspicious),33.0,Clear
EVT_002_00055,SGR_ZONE_002,2023-09-28,9,Autumn,22,0,Undetected,Drone (Suspicious),,Cloudy
EVT_002_00056,SGR_ZONE_002,2023-10-28,10,Autumn,0,1,Neutralized,Foot Patrol,27.0,Clear
EVT_002_00057,SGR_ZONE_002,2023-11-27,11,Autumn,22,1,Retreated,Vehicle,49.0,Clear
EVT_002_00058,SGR_ZONE_002,2023-11-27,11,Autumn,22,0,Undetected,Foot Patrol,,Cloudy
EVT_002_00059,SGR_ZONE_002,2023-11-27,11,Autumn,3,0,Undetected,Foot Patrol,,Cloudy
EVT_002_00060,SGR_ZONE_002,2023-12-27,12,Winter,4,1,Neutralized,Foot Patrol,35.0,Clear
EVT_002_00061,SGR_ZONE_002,2023-12-27,12,Winter,22,0,Undetected,Foot Patrol,,Cloudy
EVT_002_00062,SGR_ZONE_002,2023-12-27,12,Winter,0,1,Retreated,Foot Patrol,11.0,Clear
EVT_002_00063,SGR_ZONE_002,2023-12-27,12,Winter,1,1,Alert Triggered,Drone (Suspicious),25.0,Snow
EVT_002_00064,SGR_ZONE_002,2024-01-26,1,Winter,0,1,Neutralized,Foot Patrol,36.0,Clear
EVT_002_00065,SGR_ZONE_002,2024-01-26,1,Winter,3,1,Retreated,Drone (Suspicious),29.0,Clear
EVT_002_00066,SGR_ZONE_002,2024-01-26,1,Winter,0,1,Retreated,Foot Patrol,17.0,Fog
EVT_002_00067,SGR_ZONE_002,2024-02-25,2,Winter,3,1,Retreated,Unknown,56.0,Cloudy
EVT_002_00068,SGR_ZONE_002,2024-02-25,2,Winter,1,1,Neutralized,Foot Patrol,25.0,Fog
EVT_002_00069,SGR_ZONE_002,2024-03-26,3,Spring,0,1,Retreated,Foot Patrol,27.0,Cloudy
EVT_002_00070,SGR_ZONE_002,2024-03-26,3,Spring,1,1,Retreated,Unknown,21.0,Clear
EVT_002_00071,SGR_ZONE_002,2024-03-26,3,Spring,22,1,Neutralized,Unknown,6.0,Clear
EVT_002_00072,SGR_ZONE_002,2024-04-25,4,Spring,4,0,Undetected,Foot Patrol,,Fog
EVT_002_00073,SGR_ZONE_002,2024-05-25,5,Spring,1,1,Retreated,Unknown,43.0,Cloudy
EVT_002_00074,SGR_ZONE_002,2024-05-25,5,Spring,23,1,Retreated,Drone (Suspicious),12.0,Clear
EVT_002_00075,SGR_ZONE_002,2024-05-25,5,Spring,1,1,Retreated,Unknown,53.0,Clear
EVT_002_00076,SGR_ZONE_002,2024-05-25,5,Spring,0,1,Alert Triggered,Unknown,49.0,Clear
EVT_002_00077,SGR_ZONE_002,2024-05-25,5,Spring,2,1,Alert Triggered,Foot Patrol,39.0,Cloudy
EVT_002_00078,SGR_ZONE_002,2024-09-22,9,Autumn,23,1,Neutralized,Unknown,58.0,Cloudy
EVT_003_00079,SGR_ZONE_003,2023-01-01,1,Winter,23,1,Alert Triggered,Foot Patrol,32.0,Clear
EVT_003_00080,SGR_ZONE_003,2023-01-31,1,Winter,1,1,Neutralized,Foot Patrol,41.0,Snow
EVT_003_00081,SGR_ZONE_003,2023-03-02,3,Spring,2,1,Neutralized,Unknown,10.0,Snow
EVT_003_00082,SGR_ZONE_003,2023-03-02,3,Spring,1,1,Retreated,Unknown,54.0,Cloudy
EVT_003_00083,SGR_ZONE_003,2023-03-02,3,Spring,23,1,Retreated,Foot Patrol,51.0,Clear
EVT_003_00084,SGR_ZONE_003,2023-03-02,3,Spring,0,1,Alert Triggered,Unknown,17.0,Clear
EVT_003_00085,SGR_ZONE_003,2023-04-01,4,Spring,22,0,Undetected,Foot Patrol,,Cloudy
EVT_003_00086,SGR_ZONE_003,2023-05-01,5,Spring,1,1,Retreated,Foot Patrol,13.0,Clear
EVT_003_00087,SGR_ZONE_003,2023-05-01,5,Spring,4,1,Neutralized,Vehicle,36.0,Clear
EVT_003_00088,SGR_ZONE_003,2023-05-01,5,Spring,23,0,Undetected,Foot Patrol,,Cloudy
EVT_003_00089,SGR_ZONE_003,2023-05-01,5,Spring,2,1,Alert Triggered,Unknown,34.0,Fog
EVT_003_00090,SGR_ZONE_003,2023-05-31,5,Spring,22,1,Retreated,Drone (Suspicious),55.0,Snow
EVT_003_00091,SGR_ZONE_003,2023-05-31,5,Spring,1,1,Retreated,Vehicle,19.0,Cloudy
EVT_003_00092,SGR_ZONE_003,2023-06-30,6,Monsoon,1,1,Retreated,Unknown,9.0,Fog
EVT_003_00093,SGR_ZONE_003,2023-06-30,6,Monsoon,0,1,Retreated,Foot Patrol,9.0,Snow
EVT_003_00094,SGR_ZONE_003,2023-06-30,6,Monsoon,0,0,Undetected,Vehicle,,Clear
EVT_003_00095,SGR_ZONE_003,2023-07-30,7,Monsoon,22,0,Undetected,Foot Patrol,,Clear
EVT_003_00096,SGR_ZONE_003,2023-08-29,8,Monsoon,23,1,Retreated,Vehicle,54.0,Cloudy
EVT_003_00097,SGR_ZONE_003,2023-08-29,8,Monsoon,23,1,Retreated,Foot Patrol,26.0,Clear
EVT_003_00098,SGR_ZONE_003,2023-09-28,9,Autumn,0,1,Retreated,Vehicle,49.0,Clear
EVT_003_00099,SGR_ZONE_003,2023-10-28,10,Autumn,0,1,Retreated,Foot Patrol,52.0,Clear
EVT_003_00100,SGR_ZONE_003,2023-11-27,11,Autumn,23,1,Retreated,Foot Patrol,30.0,Fog
EVT_003_00101,SGR_ZONE_003,2023-11-27,11,Autumn,0,1,Neutralized,Foot Patrol,55.0,Fog
EVT_003_00102,SGR_ZONE_003,2023-11-27,11,Autumn,2,1,Retreated,Foot Patrol,42.0,Cloudy
EVT_003_00103,SGR_ZONE_003,2023-12-27,12,Winter,0,1,Retreated,Foot Patrol,30.0,Cloudy
EVT_003_00104,SGR_ZONE_003,2023-12-27,12,Winter,23,0,Undetected,Foot Patrol,,Clear
EVT_003_00105,SGR_ZONE_003,2024-01-26,1,Winter,1,1,Retreated,Vehicle,46.0,Clear
EVT_003_00106,SGR_ZONE_003,2024-01-26,1,Winter,0,1,Retreated,Foot Patrol,49.0,Clear
EVT_003_00107,SGR_ZONE_003,2024-01-26,1,Winter,3,0,Undetected,Foot Patrol,,Clear
EVT_003_00108,SGR_ZONE_003,2024-02-25,2,Winter,2,1,Alert Triggered,Foot Patrol,35.0,Cloudy
EVT_003_00109,SGR_ZONE_003,2024-02-25,2,Winter,4,0,Undetected,Foot Patrol,,Snow
EVT_003_00110,SGR_ZONE_003,2024-02-25,2,Winter,2,1,Neutralized,Foot Patrol,55.0,Fog
EVT_003_00111,SGR_ZONE_003,2024-03-26,3,Spring,2,1,Alert Triggered,Drone (Suspicious),24.0,Cloudy
EVT_003_00112,SGR_ZONE_003,2024-03-26,3,Spring,23,0,Undetected,Vehicle,,Clear
EVT_003_00113,SGR_ZONE_003,2024-03-26,3,Spring,0,0,Undetected,Foot Patrol,,Cloudy
EVT_003_00114,SGR_ZONE_003,2024-04-25,4,Spring,23,1,Neutralized,Unknown,17.0,Cloudy
EVT_003_00115,SGR_ZONE_003,2024-05-25,5,Spring,22,0,Undetected,Foot Patrol,,Cloudy
EVT_003_00116,SGR_ZONE_003,2024-06-24,6,Monsoon,2,1,Retreated,Unknown,15.0,Snow
EVT_003_00117,SGR_ZONE_003,2024-06-24,6,Monsoon,23,0,Undetected,Drone (Suspicious),,Cloudy
EVT_003_00118,SGR_ZONE_003,2024-06-24,6,Monsoon,2,1,Retreated,Foot Patrol,34.0,Fog
EVT_003_00119,SGR_ZONE_003,2024-09-22,9,Autumn,23,1,Alert Triggered,Foot Patrol,46.0,Clear
EVT_003_00120,SGR_ZONE_003,2024-11-21,11,Autumn,0,0,Undetected,Drone (Suspicious),,Cloudy
EVT_003_00121,SGR_ZONE_003,2024-11-21,11,Autumn,23,1,Retreated,Vehicle,44.0,Clear
EVT_003_00122,SGR_ZONE_003,2024-11-21,11,Autumn,0,1,Retreated,Drone (Suspicious),46.0,Clear
EVT_004_00123,SGR_ZONE_004,2023-01-01,1,Winter,23,1,Retreated,Foot Patrol,26.0,Fog
EVT_004_00124,SGR_ZONE_004,2023-01-01,1,Winter,0,1,Neutralized,Vehicle,51.0,Fog
EVT_004_00125,SGR_ZONE_004,2023-01-01,1,Winter,22,0,Undetected,Drone (Suspicious),,Clear
EVT_004_00126,SGR_ZONE_004,2023-01-01,1,Winter,23,1,Retreated,Vehicle,55.0,Cloudy
EVT_004_00127,SGR_ZONE_004,2023-01-01,1,Winter,1,1,Alert Triggered,Unknown,44.0,Cloudy
EVT_004_00128,SGR_ZONE_004,2023-01-31,1,Winter,3,1,Retreated,Vehicle,29.0,Clear
EVT_004_00129,SGR_ZONE_004,2023-01-31,1,Winter,1,1,Neutralized,Unknown,9.0,Snow
EVT_004_00130,SGR_ZONE_004,2023-03-02,3,Spring,0,1,Retreated,Drone (Suspicious),44.0,Fog
EVT_004_00131,SGR_ZONE_004,2023-03-02,3,Spring,3,0,Undetected,Foot Patrol,,Clear
EVT_004_00132,SGR_ZONE_004,2023-04-01,4,Spring,2,1,Retreated,Foot Patrol,19.0,Clear
EVT_004_00133,SGR_ZONE_004,2023-05-01,5,Spring,23,0,Undetected,Foot Patrol,,Clear
EVT_004_00134,SGR_ZONE_004,2023-05-31,5,Spring,3,0,Undetected,Foot Patrol,,Fog
EVT_004_00135,SGR_ZONE_004,2023-05-31,5,Spring,0,1,Retreated,Foot Patrol,28.0,Cloudy
EVT_004_00136,SGR_ZONE_004,2023-07-30,7,Monsoon,22,0,Undetected,Drone (Suspicious),,Clear
EVT_004_00137,SGR_ZONE_004,2023-09-28,9,Autumn,23,1,Alert Triggered,Foot Patrol,24.0,Cloudy
EVT_004_00138,SGR_ZONE_004,2023-10-28,10,Autumn,4,1,Retreated,Foot Patrol,27.0,Cloudy
EVT_004_00139,SGR_ZONE_004,2023-11-27,11,Autumn,1,1,Alert Triggered,Vehicle,5.0,Fog
EVT_004_00140,SGR_ZONE_004,2023-11-27,11,Autumn,0,1,Retreated,Foot Patrol,42.0,Fog
EVT_004_00141,SGR_ZONE_004,2023-11-27,11,Autumn,22,1,Neutralized,Drone (Suspicious),14.0,Clear
EVT_004_00142,SGR_ZONE_004,2023-12-27,12,Winter,23,1,Retreated,Foot Patrol,59.0,Clear
EVT_004_00143,SGR_ZONE_004,2023-12-27,12,Winter,23,1,Retreated,Foot Patrol,41.0,Clear
EVT_004_00144,SGR_ZONE_004,2023-12-27,12,Winter,1,1,Neutralized,Foot Patrol,18.0,Cloudy
EVT_004_00145,SGR_ZONE_004,2024-01-26,1,Winter,0,1,Neutralized,Vehicle,37.0,Clear
EVT_004_00146,SGR_ZONE_004,2024-01-26,1,Winter,22,0,Undetected,Vehicle,,Cloudy
EVT_004_00147,SGR_ZONE_004,2024-01-26,1,Winter,2,1,Retreated,Foot Patrol,6.0,Clear
EVT_004_00148,SGR_ZONE_004,2024-01-26,1,Winter,22,1,Retreated,Drone (Suspicious),13.0,Cloudy
EVT_004_00149,SGR_ZONE_004,2024-02-25,2,Winter,22,1,Retreated,Unknown,36.0,Cloudy
EVT_004_00150,SGR_ZONE_004,2024-02-25,2,Winter,22,1,Retreated,Vehicle,43.0,Clear
EVT_004_00151,SGR_ZONE_004,2024-02-25,2,Winter,1,0,Undetected,Foot Patrol,,Snow
EVT_004_00152,SGR_ZONE_004,2024-03-26,3,Spring,2,1,Neutralized,Foot Patrol,42.0,Fog
EVT_004_00153,SGR_ZONE_004,2024-03-26,3,Spring,23,0,Undetected,Foot Patrol,,Snow
EVT_004_00154,SGR_ZONE_004,2024-03-26,3,Spring,2,1,Retreated,Vehicle,11.0,Cloudy
EVT_004_00155,SGR_ZONE_004,2024-03-26,3,Spring,2,0,Undetected,Drone (Suspicious),,Cloudy
EVT_004_00156,SGR_ZONE_004,2024-04-25,4,Spring,22,1,Neutralized,Unknown,15.0,Clear
EVT_004_00157,SGR_ZONE_004,2024-04-25,4,Spring,1,1,Retreated,Foot Patrol,51.0,Snow
EVT_004_00158,SGR_ZONE_004,2024-04-25,4,Spring,22,1,Neutralized,Vehicle,23.0,Cloudy
EVT_004_00159,SGR_ZONE_004,2024-05-25,5,Spring,0,0,Undetected,Foot Patrol,,Fog
EVT_004_00160,SGR_ZONE_004,2024-06-24,6,Monsoon,22,0,Undetected,Foot Patrol,,Cloudy
EVT_004_00161,SGR_ZONE_004,2024-07-24,7,Monsoon,2,1,Retreated,Foot Patrol,38.0,Clear
EVT_004_00162,SGR_ZONE_004,2024-07-24,7,Monsoon,23,1,Alert Triggered,Drone (Suspicious),59.0,Cloudy
EVT_004_00163,SGR_ZONE_004,2024-09-22,9,Autumn,4,1,Retreated,Drone (Suspicious),41.0,Cloudy
EVT_005_00164,SGR_ZONE_005,2023-01-01,1,Winter,23,1,Alert Triggered,Foot Patrol,14.0,Cloudy
EVT_005_00165,SGR_ZONE_005,2023-01-01,1,Winter,4,1,Retreated,Foot Patrol,19.0,Cloudy
EVT_005_00166,SGR_ZONE_005,2023-01-31,1,Winter,2,1,Retreated,Unknown,21.0,Cloudy
EVT_005_00167,SGR_ZONE_005,2023-01-31,1,Winter,0,0,Undetected,Foot Patrol,,Fog
EVT_005_00168,SGR_ZONE_005,2023-01-31,1,Winter,0,1,Retreated,Vehicle,53.0,Cloudy
EVT_005_00169,SGR_ZONE_005,2023-01-31,1,Winter,1,1,Retreated,Foot Patrol,48.0,Clear
EVT_005_00170,SGR_ZONE_005,2023-01-31,1,Winter,22,1,Neutralized,Unknown,17.0,Clear
EVT_005_00171,SGR_ZONE_005,2023-03-02,3,Spring,22,1,Neutralized,Foot Patrol,48.0,Cloudy
EVT_005_00172,SGR_ZONE_005,2023-03-02,3,Spring,2,1,Retreated,Foot Patrol,43.0,Cloudy
EVT_005_00173,SGR_ZONE_005,2023-04-01,4,Spring,0,0,Undetected,Unknown,,Fog
EVT_005_00174,SGR_ZONE_005,2023-04-01,4,Spring,0,1,Alert Triggered,Foot Patrol,19.0,Clear
EVT_005_00175,SGR_ZONE_005,2023-05-01,5,Spring,3,1,Neutralized,Foot Patrol,50.0,Cloudy
EVT_005_00176,SGR_ZONE_005,2023-05-01,5,Spring,3,1,Retreated,Foot Patrol,12.0,Snow
EVT_005_00177,SGR_ZONE_005,2023-05-31,5,Spring,23,0,Undetected,Foot Patrol,,Clear
EVT_005_00178,SGR_ZONE_005,2023-05-31,5,Spring,1,0,Undetected,Foot Patrol,,Snow
EVT_005_00179,SGR_ZONE_005,2023-05-31,5,Spring,2,1,Alert Triggered,Foot Patrol,46.0,Cloudy
EVT_005_00180,SGR_ZONE_005,2023-08-29,8,Monsoon,1,1,Neutralized,Unknown,41.0,Clear
EVT_005_00181,SGR_ZONE_005,2023-08-29,8,Monsoon,2,0,Undetected,Foot Patrol,,Fog
EVT_005_00182,SGR_ZONE_005,2023-08-29,8,Monsoon,4,1,Alert Triggered,Vehicle,9.0,Fog
EVT_005_00183,SGR_ZONE_005,2023-08-29,8,Monsoon,23,1,Neutralized,Vehicle,52.0,Cloudy
EVT_005_00184,SGR_ZONE_005,2023-09-28,9,Autumn,23,1,Neutralized,Unknown,44.0,Fog
EVT_005_00185,SGR_ZONE_005,2023-10-28,10,Autumn,0,1,Retreated,Vehicle,20.0,Cloudy
EVT_005_00186,SGR_ZONE_005,2023-10-28,10,Autumn,2,1,Retreated,Unknown,29.0,Snow
EVT_005_00187,SGR_ZONE_005,2023-10-28,10,Autumn,22,0,Undetected,Foot Patrol,,Fog
EVT_005_00188,SGR_ZONE_005,2023-10-28,10,Autumn,4,1,Alert Triggered,Foot Patrol,36.0,Clear
EVT_005_00189,SGR_ZONE_005,2023-11-27,11,Autumn,2,1,Retreated,Foot Patrol,36.0,Clear
EVT_005_00190,SGR_ZONE_005,2023-11-27,11,Autumn,23,1,Neutralized,Foot Patrol,28.0,Fog
EVT_005_00191,SGR_ZONE_005,2023-12-27,12,Winter,23,1,Retreated,Unknown,32.0,Cloudy
EVT_005_00192,SGR_ZONE_005,2024-01-26,1,Winter,3,1,Neutralized,Foot Patrol,21.0,Fog
EVT_005_00193,SGR_ZONE_005,2024-01-26,1,Winter,1,1,Neutralized,Foot Patrol,22.0,Fog
EVT_005_00194,SGR_ZONE_005,2024-02-25,2,Winter,1,1,Neutralized,Foot Patrol,19.0,Fog
EVT_005_00195,SGR_ZONE_005,2024-02-25,2,Winter,23,0,Undetected,Foot Patrol,,Cloudy
EVT_005_00196,SGR_ZONE_005,2024-02-25,2,Winter,3,0,Undetected,Unknown,,Cloudy
EVT_005_00197,SGR_ZONE_005,2024-02-25,2,Winter,2,1,Alert Triggered,Drone (Suspicious),24.0,Cloudy
EVT_005_00198,SGR_ZONE_005,2024-03-26,3,Spring,0,1,Retreated,Vehicle,10.0,Fog
EVT_005_00199,SGR_ZONE_005,2024-03-26,3,Spring,0,1,Retreated,Drone (Suspicious),38.0,Clear
EVT_005_00200,SGR_ZONE_005,2024-03-26,3,Spring,22,1,Retreated,Unknown,20.0,Cloudy
EVT_005_00201,SGR_ZONE_005,2024-05-25,5,Spring,23,1,Neutralized,Foot Patrol,54.0,Fog
EVT_005_00202,SGR_ZONE_005,2024-10-22,10,Autumn,22,1,Retreated,Drone (Suspicious),29.0,Clear
EVT_005_00203,SGR_ZONE_005,2024-10-22,10,Autumn,0,1,Neutralized,Vehicle,52.0,Cloudy
EVT_005_00204,SGR_ZONE_005,2024-11-21,11,Autumn,0,0,Undetected,Drone (Suspicious),,Clear
EVT_006_00205,SGR_ZONE_006,2023-01-01,1,Winter,22,1,Retreated,Vehicle,36.0,Cloudy
EVT_006_00206,SGR_ZONE_006,2023-01-31,1,Winter,22,0,Undetected,Foot Patrol,,Cloudy
EVT_006_00207,SGR_ZONE_006,2023-01-31,1,Winter,23,1,Retreated,Unknown,37.0,Cloudy
EVT_006_00208,SGR_ZONE_006,2023-01-31,1,Winter,22,0,Undetected,Foot Patrol,,Clear
EVT_006_00209,SGR_ZONE_006,2023-01-31,1,Winter,0,1,Retreated,Vehicle,54.0,Fog
EVT_006_00210,SGR_ZONE_006,2023-01-31,1,Winter,22,1,Alert Triggered,Foot Patrol,10.0,Cloudy
EVT_006_00211,SGR_ZONE_006,2023-01-31,1,Winter,1,1,Neutralized,Unknown,12.0,Fog
EVT_006_00212,SGR_ZONE_006,2023-05-01,5,Spring,22,1,Retreated,Unknown,30.0,Cloudy
EVT_006_00213,SGR_ZONE_006,2023-05-01,5,Spring,22,1,Retreated,Drone (Suspicious),16.0,Clear
EVT_006_00214,SGR_ZONE_006,2023-05-01,5,Spring,23,1,Neutralized,Unknown,40.0,Fog
EVT_006_00215,SGR_ZONE_006,2023-05-31,5,Spring,23,1,Retreated,Foot Patrol,45.0,Cloudy
EVT_006_00216,SGR_ZONE_006,2023-05-31,5,Spring,22,1,Neutralized,Foot Patrol,19.0,Clear
EVT_006_00217,SGR_ZONE_006,2023-05-31,5,Spring,0,1,Retreated,Drone (Suspicious),24.0,Cloudy
EVT_006_00218,SGR_ZONE_006,2023-10-28,10,Autumn,0,1,Neutralized,Foot Patrol,40.0,Fog
EVT_006_00219,SGR_ZONE_006,2023-10-28,10,Autumn,3,1,Neutralized,Vehicle,58.0,Clear
EVT_006_00220,SGR_ZONE_006,2023-10-28,10,Autumn,0,1,Alert Triggered,Foot Patrol,30.0,Fog
EVT_006_00221,SGR_ZONE_006,2023-10-28,10,Autumn,3,0,Undetected,Foot Patrol,,Snow
EVT_006_00222,SGR_ZONE_006,2023-11-27,11,Autumn,2,1,Neutralized,Unknown,51.0,Cloudy
EVT_006_00223,SGR_ZONE_006,2023-12-27,12,Winter,1,1,Retreated,Unknown,9.0,Clear
EVT_006_00224,SGR_ZONE_006,2023-12-27,12,Winter,1,0,Undetected,Unknown,,Cloudy
EVT_006_00225,SGR_ZONE_006,2023-12-27,12,Winter,23,0,Undetected,Foot Patrol,,Cloudy
EVT_006_00226,SGR_ZONE_006,2024-01-26,1,Winter,23,1,Retreated,Foot Patrol,24.0,Clear
EVT_006_00227,SGR_ZONE_006,2024-01-26,1,Winter,1,1,Retreated,Drone (Suspicious),48.0,Cloudy
EVT_006_00228,SGR_ZONE_006,2024-01-26,1,Winter,2,1,Retreated,Foot Patrol,18.0,Clear
EVT_006_00229,SGR_ZONE_006,2024-02-25,2,Winter,22,0,Undetected,Unknown,,Clear
EVT_006_00230,SGR_ZONE_006,2024-02-25,2,Winter,0,0,Undetected,Foot Patrol,,Snow
EVT_006_00231,SGR_ZONE_006,2024-02-25,2,Winter,4,0,Undetected,Unknown,,Cloudy
EVT_006_00232,SGR_ZONE_006,2024-03-26,3,Spring,0,1,Neutralized,Foot Patrol,49.0,Clear
EVT_006_00233,SGR_ZONE_006,2024-03-26,3,Spring,3,1,Neutralized,Foot Patrol,59.0,Cloudy
EVT_006_00234,SGR_ZONE_006,2024-03-26,3,Spring,0,1,Neutralized,Vehicle,59.0,Snow
EVT_006_00235,SGR_ZONE_006,2024-04-25,4,Spring,23,1,Alert Triggered,Drone (Suspicious),31.0,Snow
EVT_006_00236,SGR_ZONE_006,2024-04-25,4,Spring,1,1,Neutralized,Vehicle,57.0,Cloudy
EVT_006_00237,SGR_ZONE_006,2024-05-25,5,Spring,23,1,Retreated,Unknown,29.0,Fog
EVT_006_00238,SGR_ZONE_006,2024-05-25,5,Spring,1,1,Retreated,Unknown,42.0,Clear
